date,open_SO2,sate_SO2,"Indirapuram, Ghaziabad - UPPCB","Sanjay Nagar, Ghaziabad - UPPCB","Vasundhara, Ghaziabad - UPPCB"
2020-11-24,20.5925,0.10934366,9.35,15.45,10.82
2020-11-25,41.88708333333333,0.0056934716,14.82,13.01,10.46
2020-11-26,53.297500000000014,-0.311793089,17.08,10.82,12.55
2020-11-27,55.531666666666666,-0.2365495724,23.06,15.39,34.92
2020-11-28,49.45374999999999,0.280254334,12.35,13.97,10.8
2020-11-29,92.31708333333331,0.0562147639999999,14.96,14.23,10.7
2020-11-30,74.55541666666666,0.584691823,18.2325,12.9,16.24
2020-12-01,79.57291666666666,0.1275680946,13.8,10.88,7.63
2020-12-02,63.61833333333333,-0.400000006,31.21,7.12,21.53
2020-12-03,98.15374999999996,0.125194505,45.81,12.15,5.78
2020-12-04,67.86041666666668,0.4772412193999999,9.93,5.71,25.31
2020-12-05,30.86583333333333,-0.118913077,20.0,3.84,29.69
2020-12-06,70.65208333333334,-0.270316426,24.46,5.17,30.23
2020-12-07,65.735,0.576374173,33.28,7.79,40.71
2020-12-08,115.95166666666664,-0.0637379936,35.81,14.14,29.85
2020-12-09,83.01083333333332,-0.0079615934,13.81,11.56,13.0
2020-12-10,64.07541666666665,0.2125629098,17.12,21.48,24.74
2020-12-11,49.16958333333333,0.0138145732,17.24,11.87,34.32
2020-12-12,63.74291666666667,0.0207043668,16.77,5.43,5.88
2020-12-13,42.44833333333333,0.2505857722,13.06,4.88,7.8
2020-12-14,51.6275,-0.027416218,14.77,11.39,7.98
2020-12-15,60.329583333333325,-0.0145419136,27.18,14.24,11.67
2020-12-16,55.67083333333333,0.142048165,16.18,9.43,13.81
2020-12-17,55.85041666666666,-0.0549531482,7.24,5.52,8.58
2020-12-18,53.90416666666667,0.257959813,10.47,9.68,12.44
2020-12-19,45.45875,0.187586769,10.09,11.41,15.25
2020-12-20,43.00458333333333,-0.0103494643999999,11.6,8.84,16.94
2020-12-21,81.32041666666666,0.01,19.37,19.06,24.89
2020-12-22,94.09791666666666,0.3301760882,31.23,12.05,22.4
2020-12-23,82.84083333333332,0.117877014,27.64,14.28,15.65
2020-12-24,54.78833333333333,0.0372995564,25.36,12.8,19.97
2020-12-25,48.00208333333334,-0.054412893,12.74,10.98,18.2
2020-12-26,41.34583333333333,0.0637823134,18.16,11.11,12.31
2020-12-27,30.00166666666667,-0.310000002,20.75,9.11,11.39
2020-12-28,47.43541666666668,-0.123353541,34.15,9.36,34.88
2020-12-29,48.08083333333334,0.4071567168,34.37,14.97,30.56
2020-12-30,51.85583333333333,-0.25,16.71,10.02,10.22
2020-12-31,82.61166666666665,0.1294403978,12.55,8.12,12.13
2021-01-01,56.47083333333334,0.2418395578,15.27,3.58,15.78
2021-01-02,22.23833333333334,0.0115061295999999,20.56,9.18,11.82
2021-01-03,14.609166666666669,0.1018408089999999,12.02,8.7,5.79
2021-01-04,20.232916666666664,0.047473073,17.94,7.54,8.86
2021-01-05,26.83749999999999,0.043030607,18.42,8.57,13.65
2021-01-06,75.42958333333333,0.060610342,10.4,9.12,5.73
2021-01-07,55.870000000000005,-0.038265588,12.13,6.76,2.3
2021-01-08,52.55166666666667,-0.449999988,30.11,15.12,10.56
2021-01-09,41.3175,-0.0952550694,15.68,11.68,8.0
2021-01-10,45.5975,0.0499476187999999,7.95,3.33,14.93
2021-01-11,47.10874999999999,0.069711399,10.47,5.26,27.68
2021-01-12,52.94958333333333,0.0911490351999999,11.17,3.23,12.49
2021-01-13,47.30708333333335,-0.164958119,41.64,6.86,30.0
2021-01-14,101.00916666666666,0.5352531646,20.09,7.02,24.38
2021-01-15,161.52875,0.0434397294,11.04,6.23,14.27
2021-01-16,43.317916666666655,0.1131445552,22.25,1.71,14.33
2021-01-17,28.123333333333324,0.1501880847999999,12.09,7.01,5.56
2021-01-18,38.78333333333334,0.3800451862,7.54,11.46,6.91
2021-01-19,60.399166666666666,0.877083421,8.29,5.14,6.16
2021-01-20,55.49208333333335,0.426299363,4.45,6.18,4.68
2021-01-21,46.18416666666666,0.1412323416,6.92,10.77,5.6
2021-01-22,35.788333333333334,-0.0523647934,5.39,16.35,5.94
2021-01-23,22.020416666666662,0.5347472996,5.4,6.99,5.53
2021-01-24,43.16416666666667,-0.0700644545999999,5.59,5.86,3.74
2021-01-25,61.35250000000001,0.1397791104,6.19,8.17,5.2
2021-01-26,55.18300000000001,0.142622137,8.11,6.07,6.15
2021-01-27,37.8475,0.0110946319999999,11.3,12.14,7.08
2021-01-28,63.70791666666668,0.159999996,10.78,7.86,7.62
2021-01-29,54.42000000000001,0.514351666,9.93,6.28,6.38
2021-01-30,41.00833333333334,0.055334416,12.05,14.0,6.39
2021-01-31,76.42291666666667,-0.074919209,10.47,14.77,7.36
2021-02-01,94.98958333333331,0.0899095997999999,15.04,14.71,8.34
2021-02-02,93.84791666666662,-0.136945724,25.05,19.93,7.81
2021-02-03,34.03416666666667,0.0769867908,10.2,16.08,6.42
2021-02-04,61.150000000000006,-0.0716655896,18.51,9.67,8.3
2021-02-05,53.992916666666666,0.222499996,32.19,8.69,13.48
2021-02-06,42.46833333333333,0.122519897,22.07,11.33,21.16
2021-02-07,42.547916666666666,-0.102703474,10.91,8.85,12.18
2021-02-08,62.93291666666666,0.1247950375999999,27.78,7.57,39.37
2021-02-09,74.89416666666666,-0.686110854,11.89,23.11,15.6
2021-02-10,87.83791666666669,-0.0700372314,15.9,23.12,16.86
2021-02-11,72.77749999999999,-0.01,27.17,13.59,28.36
2021-02-12,90.13208333333334,0.032850488,28.95,16.58,15.24
2021-02-13,109.43458333333332,0.12250001,20.61,11.87,17.58
2021-02-14,101.54208333333337,-0.060083784,11.32,4.18,12.31
2021-02-15,74.47083333333335,0.031876271,12.27,8.6,14.95
2021-02-16,104.87958333333331,-0.106251501,17.39,6.98,20.41
2021-02-17,70.59208333333333,0.1396637382,24.64,4.27,20.23
2021-02-18,117.66958333333334,0.581864893,29.87,6.18,16.51
2021-02-19,74.62541666666667,0.3323439572,15.66,6.48,11.45
2021-02-20,51.16,-0.280772716,12.02,3.96,8.66
2021-02-21,49.97958333333335,-0.349895269,12.94,5.59,8.94
2021-02-22,65.62541666666665,0.4241177621999999,10.8,8.13,8.57
2021-02-23,100.41416666666665,0.023844257,12.77,10.09,13.28
2021-02-24,83.64583333333336,0.0013737208,19.89,11.98,20.25
2021-02-25,70.6425,-0.236263454,21.66,9.2,15.47
2021-02-26,57.95125000000001,-0.0522137149999999,15.42,11.52,16.62
2021-02-27,60.47958333333333,0.01,21.71,12.15,27.68
2021-02-28,46.08541666666667,0.0072139487999999,26.17,9.6,20.05
2021-03-01,54.737916666666656,-0.060061567,10.87,8.04,12.86
2021-03-02,51.45875,0.283548027,12.81,8.58,13.7
2021-03-03,66.14124999999999,0.138170519,23.41,5.97,24.0
2021-03-04,112.01708333333332,0.079970077,31.81,11.4,32.68
2021-03-05,43.4725,0.0505089776,23.81,6.12,27.33
2021-03-06,35.18666666666667,0.312769294,18.2,7.15,18.23
2021-03-07,30.37375,0.3536662337999999,21.56,17.1,21.04
2021-03-08,28.44291666666668,-0.223658726,13.8,14.7,6.33
2021-03-09,67.77041666666666,-0.111326307,20.28,14.88,14.99
2021-03-10,69.92041666666668,0.3205622464,23.9,13.22,17.34
2021-03-11,63.77166666666668,-0.021398114,20.26,24.1,14.8
2021-03-12,30.349166666666672,0.1682987735999999,13.8,17.72,16.97
2021-03-13,60.00250000000002,0.779999971,24.92,16.2,27.78
2021-03-14,42.96782608695652,0.0660760032,15.86,14.27,23.16
2021-03-15,56.9925,0.1448881946,21.11,13.18,26.38
2021-03-16,53.74416666666667,0.0244879558,20.77,11.32,33.85
2021-03-17,48.68708333333334,-0.238778114,23.69,19.76,26.62
2021-03-18,76.24458333333335,0.458847255,31.86,24.33,27.13
2021-03-19,61.155,0.1433628081999999,28.03,22.69,31.73
2021-03-20,53.70416666666665,-0.32974866,18.43,15.99,13.5
2021-03-21,37.78958333333333,0.0991742908,23.04,17.09,16.89
2021-03-22,45.19,-0.730000019,21.81,18.58,19.05
2021-03-23,57.74208333333332,0.092538924,27.58,14.44,27.92
2021-03-24,58.770833333333336,-0.061125819,32.74,20.54,22.54
2021-03-25,48.18083333333333,-0.017664583,17.92,10.61,18.44
2021-03-26,50.28791666666664,0.0927935184,15.87,17.34,19.18
2021-03-27,71.07833333333333,0.342446148,24.67,24.22,21.02
2021-03-28,59.07916666666667,0.144590304,33.62,23.72,33.02
2021-03-29,48.81083333333334,-0.092688516,15.46,15.36,9.3
2021-03-30,42.787083333333335,0.06806321032618454,14.44,14.59,21.82
2021-03-31,42.23916666666667,-0.1801683929999999,9.62,6.68,11.57
2021-04-01,49.215,0.1840679486,9.52,10.96,17.05
2021-04-02,59.76458333333335,-0.008844256,14.78,17.07,22.09
2021-04-03,53.27708333333334,0.313655734,37.56,32.0,39.44
2021-04-04,64.78083333333333,-0.0012425198,24.3,21.39,31.06
2021-04-05,36.96541666666666,0.007464086,41.12,32.58,50.52
2021-04-06,62.42541666666664,0.0795040018,22.96,30.15,24.64
2021-04-07,66.57833333333333,-0.104901254,18.04,18.37,25.94
2021-04-08,62.01958333333334,0.0679898217999999,16.57,24.43,23.64
2021-04-09,59.88291666666667,0.132036209,31.38,28.83,41.59
2021-04-10,47.64416666666667,0.177449137,38.52,21.32,38.13
2021-04-11,64.92958333333333,0.256762415,29.03,27.78,40.49
2021-04-12,66.83666666666666,-0.129682809,44.52,25.6,43.26
2021-04-13,57.945,0.0347458489999999,28.43,26.38,40.13
2021-04-14,62.088750000000005,0.331781119,31.52,25.32,33.28
2021-04-15,71.81375000000001,-0.052954432,17.36,33.29,21.72
2021-04-16,44.02791666666667,-0.0032909681999999,32.67,43.56,34.56
2021-04-17,43.07541666666668,0.240418896,18.49,16.8,19.29
2021-04-18,77.42625,0.177580789,30.74,30.52,35.33
2021-04-19,62.923333333333325,0.500266314,44.37,44.29,38.53
2021-04-20,34.78999999999999,0.2091719018,39.26,29.76,58.26
2021-04-21,47.64500000000001,0.004972083,18.4,18.61,22.58
2021-04-22,70.24416666666667,0.0622313653999999,22.74,25.43,24.9
2021-04-23,40.87875,-0.0486378007999999,24.59,18.36,24.37
2021-04-24,43.869166666666665,0.1903468978,29.53,34.29,38.92
2021-04-25,51.29125,-0.021173697,39.03,32.86,51.76
2021-04-26,102.81791666666668,-0.000287262,32.64,26.19,51.38
2021-04-27,81.54000000000002,0.020179538,40.85,33.56,53.74
2021-04-28,86.68541666666668,-0.066236533,38.65,39.93,52.23
2021-04-29,52.134583333333325,0.1707612231999999,29.29,32.8,31.93
2021-04-30,56.11166666666667,-0.593221843,29.09,29.17,41.65
2021-05-01,36.772083333333335,0.1086850655999999,32.96,24.71,29.45
2021-05-02,40.61208333333335,0.0086149035999999,22.63,21.65,31.8
2021-05-03,66.4,0.150203466,22.95,20.44,21.6
2021-05-04,66.14125000000001,0.170000002,20.82,22.33,19.72
2021-05-05,42.47916666666666,0.113670707,21.39,20.45,21.47
2021-05-06,39.14041666666666,0.062580787,17.52,18.5,14.8
2021-05-07,86.51708333333335,-0.218706608,27.64,18.03,29.67
2021-05-08,60.10124999999999,0.0997366816,25.75,24.02,27.01
2021-05-09,47.47208333333333,0.0517341682,15.37,16.69,14.29
2021-05-10,47.545000000000016,0.045615747,18.44,17.56,15.63
2021-05-11,46.079583333333325,0.321179688,16.19,14.04,14.47
2021-05-12,67.60208333333333,-0.111522354,15.14,14.0,13.51
2021-05-13,48.89666666666668,-0.00511663,13.52,16.45,10.12
2021-05-14,67.14083333333333,0.03751795,13.94,16.19,12.62
2021-05-15,107.30791666666669,-0.0579521223999999,18.31,13.93,27.71
2021-05-16,58.084583333333335,-0.042335428,26.81,13.23,35.39
2021-05-17,105.78833333333334,0.1227497002,30.94,27.56,28.55
2021-05-18,58.25333333333334,0.0939708294,9.01,11.96,5.95
2021-05-19,25.385833333333338,-0.0593755224,9.95,3.8,6.37
2021-05-20,32.97666666666666,0.092347946,8.24,13.22,7.65
2021-05-21,54.78166666666666,-0.242906451,9.5,9.36,9.85
2021-05-22,99.23208333333336,0.096188657,10.5,13.33,9.98
2021-05-23,62.28916666666665,0.027607722,10.71,10.95,25.35
2021-05-24,50.564166666666665,0.0836562842,18.23,15.0,27.58
2021-05-25,54.8375,0.147682518,22.36,19.27,46.36
2021-05-26,83.17875000000002,0.1351694917999999,24.6,33.23,28.45
2021-05-27,130.97666666666666,0.068963945,15.18,33.3,13.34
2021-05-28,39.93,0.141036049,8.66,18.83,4.28
2021-05-29,20.73375,0.053417113,6.98,12.27,2.47
2021-05-30,34.67958333333333,0.062559843,14.95,11.09,10.12
2021-05-31,66.82708333333333,-0.052464608,12.46,21.16,11.26
2021-06-01,71.71041666666666,-0.050000001,9.24,14.71,9.62
2021-06-02,118.42541666666664,0.0875029063999999,18.55,13.53,22.34
2021-06-03,109.86166666666668,-0.0373532211999999,23.39,12.85,37.52
2021-06-04,111.48083333333334,0.090000004,16.06,16.03,26.44
2021-06-05,47.01,0.066879004,12.23,14.79,27.2
2021-06-06,86.94458333333336,0.010230402,14.57,18.79,27.12
2021-06-07,67.07541666666667,0.133763462,17.58,21.48,28.09
2021-06-08,49.49125,-0.077601738,9.87,20.92,17.23
2021-06-09,47.71416666666668,0.2257107087999999,9.16,15.79,13.02
2021-06-10,38.70375000000001,-0.720000029,10.18,14.97,11.95
2021-06-11,60.77791666666666,0.0816967054,8.8,12.32,11.52
2021-06-12,26.33541666666666,0.112473071,8.75,15.65,13.67
2021-06-13,65.79375000000002,0.027437162,13.71,16.36,19.27
2021-06-14,80.87416666666668,0.06450551,16.54,16.66,16.75
2021-06-15,76.56250000000001,-0.158347964,9.08,11.88,16.45
2021-06-16,51.05166666666669,0.0262641191999999,10.7,14.05,18.83
2021-06-17,55.984166666666674,0.1776050602,9.96,3.72,10.57
2021-06-18,39.484583333333326,0.0150083813999999,7.32,13.04,8.07
2021-06-19,39.59708333333332,-0.1683023672,13.0,7.47,22.39
2021-06-20,41.03833333333334,-0.1815187858,6.07,4.95,8.51
2021-06-21,53.17291666666667,0.097268917,8.64,9.47,14.56
2021-06-22,65.69416666666667,0.035077795,13.59,16.36,19.67
2021-06-23,83.57583333333332,0.424904227,17.79,24.53,23.53
2021-06-24,61.78500000000002,0.186242521,9.85,14.12,10.29
2021-06-25,89.02999999999997,0.1069405513999999,14.44,15.12,18.9
2021-06-26,87.14708333333334,0.181598589,21.43,12.76,29.2
2021-06-27,57.53333333333335,0.0151259064,16.51,12.94,19.58
2021-06-28,72.98208333333334,0.367047608,11.5,13.7,18.87
2021-06-29,59.584583333333335,-0.026437014,20.91,17.75,29.98
2021-06-30,35.24583333333334,0.039972648,16.23,19.22,15.63
2021-07-01,35.34499999999999,-0.106317326,9.67,15.59,10.56
2021-07-02,43.476250000000014,-0.0811673686,13.21,12.64,17.22
2021-07-03,47.465833333333336,0.119999997,8.75,13.74,13.38
2021-07-04,41.93208333333333,0.2633286499999999,14.18,20.5,31.05
2021-07-05,85.7325,0.0,14.65,18.89,22.33
2021-07-06,64.21541666666667,0.16046679,14.78,13.42,15.8
2021-07-07,59.95208333333334,-0.105029918,13.08,19.37,24.15
2021-07-08,44.72375,0.132299513,10.0,14.98,11.9
2021-07-09,44.31625,0.089868344,11.35,9.55,19.91
2021-07-10,37.750833333333325,-0.268673688,10.4,2.15,11.93
2021-07-11,28.570000000000004,-0.1934431494,6.4,3.61,6.28
2021-07-12,29.7925,0.1375534867999999,4.75,14.39,8.51
2021-07-13,38.465,-0.0702571602,4.93,9.12,11.42
2021-07-14,39.08041666666666,0.2098858916,4.98,9.83,32.29
2021-07-15,37.30333333333333,0.0540294014,28.62,13.17,29.39
2021-07-16,36.577916666666674,0.101276174,53.63,10.36,9.94
2021-07-17,56.62500000000001,0.0286375699999999,5.86,7.73,6.16
2021-07-18,54.0625,0.0246172369999999,4.24,6.0,5.97
2021-07-19,79.08624999999999,0.0031090707999999,4.12,3.63,23.74
2021-07-20,131.42791666666665,-0.0441113113999999,4.27,4.06,29.78
2021-07-21,73.61291666666666,-0.0038159802,3.29,6.1,21.21
2021-07-22,37.91875000000001,0.0897179812,2.69,3.84,3.83
2021-07-23,26.008749999999992,-0.319999993,2.91,2.63,3.55
2021-07-24,31.52458333333334,0.2648449707999999,2.34,4.25,3.08
2021-07-25,30.28000000000001,-0.1345908306,2.25,3.88,5.46
2021-07-26,45.56791666666666,0.2509950896,2.27,4.5,4.27
2021-07-27,82.55333333333333,-0.1425531126,2.47,4.53,3.82
2021-07-28,117.85833333333336,0.0254641817999999,2.25,3.86,3.23
2021-07-29,82.71208333333333,0.0410412944,2.31,3.22,9.16
2021-07-30,42.47875,0.06703064,2.22,4.17,5.86
2021-07-31,25.703750000000003,0.1267995207999999,3.64,3.0,13.68
2021-08-01,49.99,-0.0301231271999999,2.7,4.3,29.05
2021-08-02,43.70083333333333,0.041752446,3.09,3.17,27.77
2021-08-03,29.8425,0.201584113,2.55,5.01,17.78
2021-08-04,29.851250000000007,-0.0329419387999999,2.92,4.68,11.06
2021-08-05,51.340000000000025,0.2051234169999999,3.43,6.53,22.56
2021-08-06,77.665,-0.0691448121999999,4.65,3.26,16.03
2021-08-07,31.952916666666663,-0.0054323829999999,3.34,4.7,4.21
2021-08-08,106.67833333333334,0.0702008304,3.72,3.85,3.9
2021-08-09,99.05416666666667,0.247704293,4.0,4.54,4.02
2021-08-10,53.90291666666665,0.018634927,3.43,5.19,4.4
2021-08-11,42.45916666666667,0.095011972,3.4,5.17,3.52
2021-08-12,46.949166666666656,0.1845320796,3.75,8.91,10.01
2021-08-13,44.55458333333335,0.0840361811999999,3.41,4.83,5.55
2021-08-14,30.255,-0.0049207534,3.41,5.19,11.1
2021-08-15,41.10874999999999,-0.054907236,4.85,4.79,11.67
2021-08-16,56.64541666666667,0.231248498,3.36,3.04,11.05
2021-08-17,79.14625,0.185747504,3.58,3.07,10.1
2021-08-18,78.69291666666668,0.340000004,4.71,4.05,12.01
2021-08-19,66.60875000000003,0.099602567,4.6,4.27,8.3
2021-08-20,31.391666666666666,0.1844701596,3.86,3.37,3.6
2021-08-21,24.26375,0.009706968,3.44,3.25,3.77
2021-08-22,31.22375,0.187805956,2.97,3.43,3.76
2021-08-23,66.65458333333335,0.119999997,3.26,5.41,3.55
2021-08-24,70.35833333333333,-0.0312773047999999,2.85,3.5,3.75
2021-08-25,43.21416666666667,0.06255386,2.88,5.59,3.49
2021-08-26,42.975,0.203853235,3.57,3.81,4.14
2021-08-27,39.38041666666667,0.096425049,3.39,4.51,4.64
2021-08-28,70.45374999999997,0.2144944027999999,3.23,5.16,7.11
2021-08-29,66.54,-0.0337630583999999,3.19,3.51,4.44
2021-08-30,33.29,0.0415685961999999,3.65,3.64,2.42
2021-08-31,36.79666666666666,0.1097667004,3.91,4.44,6.68
2021-09-01,40.3575,0.0563264059999999,4.97,2.99,9.95
2021-09-02,64.42333333333335,-0.05713309,4.73,2.74,7.21
2021-09-03,43.01000000000001,0.0721514835999999,5.06,2.38,2.94
2021-09-04,53.46541666666668,0.1939649104,4.93,4.96,11.05
2021-09-05,89.50208333333335,0.150000006,4.48,5.37,4.6
2021-09-06,97.23499999999996,0.0140074351999999,5.06,5.34,7.22
2021-09-07,36.79583333333333,-0.0348424006,5.26,4.57,8.0
2021-09-08,29.39458333333333,0.289999992,4.8,4.56,9.84
2021-09-09,33.35,-0.090000004,4.64,5.16,13.65
2021-09-10,26.892083333333343,0.4524866389999999,4.71,3.29,7.17
2021-09-11,21.27958333333333,0.5288744772000001,4.51,2.6,7.22
2021-09-12,33.989583333333336,0.1980534568,4.5,4.44,8.37
2021-09-13,51.62833333333334,-0.0569682002,4.09,3.54,17.02
2021-09-14,25.1425,0.1766508082,5.12,8.81,39.53
2021-09-15,34.83875,0.1772509826,4.67,20.06,11.86
2021-09-16,34.88916666666667,0.0252113079999999,3.93,9.89,17.36
2021-09-17,26.664166666666663,0.1686066472,4.21,9.26,6.03
2021-09-18,21.294166666666666,0.2927122824,3.98,10.49,8.65
2021-09-19,24.91916666666667,0.1087324918,3.56,15.07,5.31
2021-09-20,32.09666666666666,-0.034746032,4.73,13.56,8.97
2021-09-21,38.46125,0.2992329586,4.15,18.25,6.73
2021-09-22,36.24458333333334,0.0405263307999999,4.47,14.26,9.73
2021-09-23,39.04208333333332,0.0413464221999999,4.69,11.75,11.53
2021-09-24,32.55916666666666,0.0294725108,4.59,6.86,8.76
2021-09-25,40.42249999999999,0.3575077856,4.37,24.93,11.07
2021-09-26,25.645000000000007,0.01,4.98,21.38,13.47
2021-09-27,45.43875,0.0127293766,4.98,26.19,14.96
2021-09-28,29.008333333333336,0.0441268041999999,4.97,12.86,26.99
2021-09-29,28.375833333333333,0.0097454302,4.92,20.25,13.53
2021-09-30,62.11749999999999,0.125237245,4.85,14.44,8.09
2021-10-01,113.49166666666665,0.126040832,3.9,12.12,11.28
2021-10-02,53.942083333333336,1.07130468,4.77,13.64,36.44
2021-10-03,47.73333333333335,0.360000014,5.09,17.69,16.46
2021-10-04,86.50583333333333,0.291653946,4.72,19.18,14.31
2021-10-05,113.15000000000002,0.19287473,4.05,17.36,16.8
2021-10-06,91.03625,-0.0023977971999999,3.73,10.16,20.56
2021-10-07,64.59208333333333,0.0239094436,6.88,13.48,24.0
2021-10-08,57.93583333333333,-0.0497308945999999,9.19,15.19,37.5
2021-10-09,48.18041666666667,-0.0408216589999999,7.85,19.17,28.59
2021-10-10,50.91208333333335,0.0517624154,9.34,19.04,45.24
2021-10-11,69.24125,-0.301673383,25.38,18.94,29.15
2021-10-12,75.98708333333335,0.06407465,26.24,19.8,52.67
2021-10-13,59.12833333333333,0.1422754399999999,27.64,14.85,68.32
2021-10-14,57.30083333333332,-0.154988036,16.08,16.14,28.13
2021-10-15,60.03291666666669,-0.002074687,13.04,16.54,21.46
2021-10-16,49.65708333333334,-0.071538746,36.22,24.07,34.81
2021-10-17,29.45,-0.0568950766,27.75,14.65,57.2
2021-10-18,40.63125,-0.1125572532,9.49,9.36,11.21
2021-10-19,50.12666666666667,0.13361086,9.3,11.24,12.05
2021-10-20,61.06499999999999,-0.0458867891999999,10.07,21.44,11.34
2021-10-21,56.107916666666654,0.434116542,8.58,23.2,11.4
2021-10-22,65.36749999999999,0.2521708432,7.81,22.13,12.71
2021-10-23,36.2,-0.306936711,9.28,35.85,14.53
2021-10-24,21.403333333333336,0.0695932876,7.92,17.38,11.09
2021-10-25,58.36291666666667,0.0465389876,12.69,14.06,22.29
2021-10-26,49.57083333333332,0.0447651478,10.84,12.3,10.64
2021-10-27,51.49916666666667,-0.330554098,16.97,18.36,21.24
2021-10-28,53.793333333333344,-0.344940156,12.18,22.48,12.37
2021-10-29,62.43666666666667,0.0638548756,17.02,28.13,14.92
2021-10-30,45.27041666666667,-0.096335277,11.35,20.33,6.9
2021-10-31,64.11458333333333,-0.045800487,12.69,31.85,6.64
2021-11-01,35.32083333333332,0.144826457,11.86,32.14,11.41
2021-11-02,30.034999999999997,0.069007176,11.05,27.13,14.01
2021-11-03,53.02833333333334,0.029752532,10.88,26.93,16.21
2021-11-04,178.9933333333333,0.520131648,17.39,17.85,21.28
2021-11-05,78.24083333333336,0.4697520639999999,17.38,11.44,28.35
2021-11-06,45.42833333333332,0.095730841,13.23,10.99,18.28
2021-11-07,52.9284,-0.0056224751999999,12.4,15.15,19.31
2021-11-08,65.08916666666666,0.104999997,14.48,24.27,22.55
2021-11-09,75.73708333333333,-0.0381785674,23.86,23.79,32.82
2021-11-10,83.88375000000002,0.0724818545999999,17.74,26.15,21.3
2021-11-11,81.81666666666669,-0.0601029401999999,17.92,21.54,16.97
2021-11-12,65.30624999999999,0.074404448,16.32,16.18,32.12
2021-11-13,59.05791666666665,0.057891987,18.86,22.36,26.6
2021-11-14,85.94916666666667,0.0925981416,16.36,16.69,25.02
2021-11-15,70.30374999999998,0.750919342,18.26,12.71,25.63
2021-11-16,64.14375,0.054482727,17.15,16.47,37.49
2021-11-17,115.43500000000002,-0.797577798,16.12,15.2,15.68
2021-11-18,250.00208333333333,0.3489193619999999,22.02,20.98,37.65
2021-11-19,80.28750000000001,0.1341184879999999,30.71,23.85,56.37
2021-11-20,59.82333333333332,0.328557014,31.02,30.78,43.57
2021-11-21,53.00833333333333,0.0662093448,31.58,24.13,49.64
2021-11-22,60.51916666666665,0.30741322,18.21,23.44,19.08
2021-11-23,79.75083333333335,0.0919893589999999,16.41,29.64,15.51
2021-11-24,66.6375,-0.922951877,24.93,25.36,41.65
2021-11-25,80.16791666666666,0.0280071854,15.18,29.12,14.43
2021-11-26,97.54791666666664,0.1912963449999999,21.12,20.22,20.89
2021-11-27,23.970416666666665,-0.0187651568,13.34,18.91,10.57
2021-11-28,85.6325,0.531314254,15.65,17.8,28.94
2021-11-29,63.30041666666668,0.442335427,26.53,19.74,22.62
2021-11-30,52.47208333333334,0.0230069426,18.9,26.3,23.6
2021-12-01,63.50000000000002,-0.1319232178,18.56,16.69,26.69
2021-12-02,62.07749999999999,-0.06879341,15.79,19.25,25.5
2021-12-03,112.245,0.0792347281999999,11.05,15.84,13.81
2021-12-04,120.75833333333334,0.111125362,10.5,27.05,8.41
2021-12-05,86.30708333333337,-0.0454451627999999,14.24,16.95,15.45
2021-12-06,53.127916666666685,0.092691511,29.48,22.37,42.93
2021-12-07,50.782916666666665,0.06806321032618454,17.1,22.36,37.84
2021-12-08,57.73708333333334,-0.029919207,11.17,20.77,17.96
2021-12-09,66.31,0.4010895073999999,13.86,17.37,20.55
2021-12-10,54.82666666666668,0.062859073,11.9,22.42,26.17
2021-12-11,48.16041666666667,0.1235405697999999,8.95,29.88,26.01
2021-12-12,157.9520833333333,0.3838574523999999,8.52,31.23,38.02
2021-12-13,97.82208333333335,0.1314306098,7.78,21.41,21.28
2021-12-14,66.46374999999999,0.1201834334,9.3,15.26,10.49
2021-12-15,50.942083333333336,-0.224359646,22.39,18.52,3.65
2021-12-16,66.6475,0.0203815184,29.61,24.72,26.37
2021-12-17,48.25041666666666,0.68730849,28.84,11.31,61.47
2021-12-18,40.44083333333333,-0.28798007,5.47,19.72,29.35
2021-12-19,52.26375,-0.654416502,6.94,15.65,40.13
2021-12-20,88.01583333333333,0.062876223,10.98,11.1,32.79
2021-12-21,66.85666666666667,-0.109999999,18.54,10.28,26.79
2021-12-22,92.70583333333332,-0.076149762,18.78,6.07,30.37
2021-12-23,61.3775,0.2142464592,14.09,5.78,26.73
2021-12-24,50.92166666666669,0.4684605,7.24,5.44,11.26
2021-12-25,98.00958333333332,-0.058735333,8.88,4.37,12.56
2021-12-26,26.668333333333333,0.1467956126,10.23,1.51,8.05
2021-12-27,65.36749999999999,0.1750520656,20.38,3.52,17.87
2021-12-28,91.03583333333331,0.1407857605999999,24.53,7.54,14.59
2021-12-29,76.17041666666667,0.3461705046,12.99,6.19,23.09
2021-12-30,62.33708333333334,-0.0704694138,8.84,7.39,15.88
2021-12-31,54.76625000000001,0.129721716,9.5,6.06,13.04
