date,open_NO2,sate_NO2,"Kadri, Mangalore - KSPCB"
2020-11-24,10.82,4375700000000000.0,4.08
2020-11-25,10.507916666666668,3060824000000000.0,25.07
2020-11-26,10.845833333333331,2426900000000000.0,27.47
2020-11-27,12.404583333333331,3043480000000000.0,11.85
2020-11-28,11.23125,2462870000000000.0,27.38
2020-11-29,8.602500000000001,3524730000000000.0,15.7
2020-11-30,7.494583333333332,3272472000000000.0,6.24
2020-12-01,8.799583333333334,2793470000000000.0,3.98
2020-12-02,11.603333333333332,2859956000000000.0,3.83
2020-12-03,15.377916666666666,3537272000000000.0,3.79
2020-12-04,15.892083333333332,2882804000000000.0,25.19
2020-12-05,10.15,4109880000000000.0,24.4
2020-12-06,9.488333333333337,2618080000000000.0,25.49
2020-12-07,10.994583333333331,3539530000000000.0,22.47
2020-12-08,9.268333333333334,5692980000000000.0,19.96
2020-12-09,8.583749999999997,2981894000000000.0,17.65
2020-12-10,7.828749999999999,3544400000000000.0,16.74
2020-12-11,8.591249999999999,2675200000000000.0,17.01
2020-12-12,5.945833333333334,3328100000000000.0,23.66
2020-12-13,8.02,2582852000000000.0,28.61
2020-12-14,8.698750000000002,3228860000000000.0,28.72
2020-12-15,11.47125,4024380000000000.0,27.2
2020-12-16,10.775833333333331,2883978000000000.0,20.41
2020-12-17,10.193749999999998,3531450000000000.0,20.93
2020-12-18,10.71,3101162000000000.0,23.12
2020-12-19,6.677916666666668,3647600000000000.0,25.36
2020-12-20,6.161250000000002,3041750000000000.0,28.84
2020-12-21,9.122916666666669,3221370000000000.0,26.4
2020-12-22,6.994583333333335,3908810000000000.0,26.51
2020-12-23,8.894166666666667,3115582000000000.0,25.05
2020-12-24,6.354166666666667,3430940000000000.0,27.44
2020-12-25,5.967500000000001,2464802000000000.0,27.72
2020-12-26,5.370416666666666,3549980000000000.0,33.5
2020-12-27,7.028750000000001,2809138000000000.0,31.43
2020-12-28,9.20625,3548880000000000.0,37.99
2020-12-29,9.9725,3121130000000000.0,31.38
2020-12-30,6.620416666666667,3255440000000000.0,15.64
2020-12-31,7.227083333333334,3222360000000000.0,22.04
2021-01-01,7.336666666666666,2878074000000000.0,44.99
2021-01-02,7.892500000000002,4203480000000000.0,26.97
2021-01-03,6.996666666666669,3662932000000000.0,12.11
2021-01-04,4.971250000000001,2464586000000000.0,32.38
2021-01-05,8.332083333333335,3497540000000000.0,20.74
2021-01-06,5.236249999999999,3024188000000000.0,6.99
2021-01-07,9.568333333333332,2884140000000000.0,15.16
2021-01-08,8.3225,3022808000000000.0,10.07
2021-01-09,8.232916666666666,4136780000000000.0,24.6
2021-01-10,8.083333333333334,3409226000000000.0,23.57
2021-01-11,12.574166666666668,3367936000000000.0,25.57
2021-01-12,14.007916666666665,2890042000000000.0,41.61
2021-01-13,11.954166666666666,3282702000000000.0,55.13
2021-01-14,13.021250000000002,3056532000000000.0,29.1
2021-01-15,7.664583333333332,2632860000000000.0,37.54
2021-01-16,6.210416666666667,3559930000000000.0,18.38
2021-01-17,5.959166666666667,3034902000000000.0,17.54
2021-01-18,8.354166666666664,4129230000000000.0,21.08
2021-01-19,10.030416666666666,3075400000000000.0,24.94
2021-01-20,10.62,3315730000000000.0,33.27
2021-01-21,9.293749999999998,3231378000000000.0,31.1
2021-01-22,7.140833333333332,3806810000000000.0,29.14
2021-01-23,6.398750000000002,3825920000000000.0,34.66
2021-01-24,4.97,3593724000000000.0,29.96
2021-01-25,7.950833333333332,3344780000000000.0,21.6
2021-01-26,10.5455,2643358000000000.0,32.25
2021-01-27,6.5125,3105160000000000.0,29.41
2021-01-28,6.220416666666666,3311120000000000.0,26.4
2021-01-29,9.136666666666668,3094480000000000.0,39.53
2021-01-30,5.985,3295390000000000.0,25.69
2021-01-31,6.461666666666667,3463020000000000.0,29.8
2021-02-01,6.741250000000002,3826300000000000.0,29.08
2021-02-02,8.540833333333333,3014852000000000.0,15.01
2021-02-03,7.518333333333333,3607960000000000.0,27.92
2021-02-04,8.132916666666668,3780336000000000.0,27.66
2021-02-05,7.863750000000002,3452740000000000.0,28.67
2021-02-06,6.545833333333333,3264732000000000.0,23.86
2021-02-07,8.19875,3642900000000000.0,21.57
2021-02-08,11.21208333333333,4137970000000000.0,9.25
2021-02-09,11.154583333333337,3055516000000000.0,20.02
2021-02-10,10.366666666666667,3254590000000000.0,20.76
2021-02-11,8.931666666666667,2453508000000000.0,16.63
2021-02-12,7.829166666666666,4272540000000000.0,13.23
2021-02-13,4.301666666666667,3201790000000000.0,18.82
2021-02-14,4.360416666666667,3909550000000000.0,14.89
2021-02-15,4.141250000000001,3493090000000000.0,16.78
2021-02-16,4.597083333333332,3097820000000000.0,17.17
2021-02-17,4.097083333333334,4239990000000000.0,19.72
2021-02-18,7.150000000000001,2751700000000000.0,23.35
2021-02-19,8.087500000000002,2471970000000000.0,21.21
2021-02-20,5.6241666666666665,3499822000000000.0,24.41
2021-02-21,7.1175,2929306000000000.0,19.37
2021-02-22,12.637083333333331,3705272000000000.0,29.17
2021-02-23,9.189166666666669,3501110000000000.0,24.46
2021-02-24,5.923750000000002,2696500000000000.0,20.25
2021-02-25,4.718750000000001,3188960000000000.0,23.6
2021-02-26,5.216666666666665,3567680000000000.0,23.03
2021-02-27,6.09125,3919870000000000.0,22.63
2021-02-28,5.509583333333334,3230320000000000.0,20.41
2021-03-01,4.633749999999999,3345716000000000.0,21.28
2021-03-02,4.65625,4032230000000000.0,25.1
2021-03-03,5.820416666666667,3185296000000000.0,26.07
2021-03-04,5.695833333333334,3480410000000000.0,25.83
2021-03-05,6.030416666666665,3995400000000000.0,24.13
2021-03-06,2.50375,2901350000000000.0,29.43
2021-03-07,3.8583333333333343,3655570000000000.0,21.3
2021-03-08,5.1375,3221774000000000.0,112.09
2021-03-09,5.512083333333336,3953560000000000.0,15.41
2021-03-10,4.745416666666667,3460228000000000.0,21.24
2021-03-11,10.307083333333331,3484060000000000.0,27.53
2021-03-12,7.808333333333334,3237230000000000.0,24.66
2021-03-13,3.790833333333332,3502010000000000.0,27.05
2021-03-14,3.2904347826086955,3834060000000000.0,24.87
2021-03-15,4.9070833333333335,3721960000000000.0,23.49
2021-03-16,5.49125,3391180000000000.0,31.32
2021-03-17,5.756666666666667,3007878000000000.0,26.57
2021-03-18,5.927916666666665,3419880000000000.0,24.55
2021-03-19,5.335416666666666,2930234000000000.0,23.31
2021-03-20,4.07,2800030000000000.0,23.7
2021-03-21,4.270833333333334,3470200000000000.0,19.96
2021-03-22,4.617916666666666,2566610000000000.0,20.65
2021-03-23,4.500833333333333,3119040000000000.0,19.69
2021-03-24,4.23875,2866428000000000.0,13.89
2021-03-25,6.864583333333331,2952420000000000.0,9.16
2021-03-26,5.324583333333334,2807384000000000.0,6.03
2021-03-27,3.594999999999999,3594080000000000.0,6.13
2021-03-28,3.576666666666666,2916030000000000.0,7.05
2021-03-29,4.1312500000000005,3582460000000000.0,7.6
2021-03-30,4.284166666666667,3338250000000000.0,13.39
2021-03-31,3.067500000000001,3423650000000000.0,9.97
2021-04-01,4.927916666666667,2919590000000000.0,10.99
2021-04-02,5.631666666666667,3722084000000000.0,8.48
2021-04-03,4.395833333333333,2954610000000000.0,10.88
2021-04-04,2.2604166666666665,3349582000000000.0,7.49
2021-04-05,2.4770833333333337,3238620000000000.0,10.19
2021-04-06,5.550833333333332,3972970000000000.0,6.47
2021-04-07,6.158750000000001,3154720000000000.0,11.14
2021-04-08,6.167916666666668,3611298000000000.0,14.4
2021-04-09,4.62125,2803862000000000.0,9.77
2021-04-10,4.542916666666667,3767670000000000.0,12.94
2021-04-11,4.368750000000001,3550316000000000.0,8.0
2021-04-12,6.908333333333332,4073010000000000.0,10.78
2021-04-13,8.615,2822840000000000.0,10.55
2021-04-14,6.813749999999999,2809880000000000.0,8.17
2021-04-15,9.897916666666664,3317280000000000.0,9.32
2021-04-16,6.187083333333334,3109690000000000.0,12.05
2021-04-17,9.617083333333332,2816050000000000.0,12.45
2021-04-18,5.562916666666666,3294934000000000.0,8.53
2021-04-19,6.662916666666668,3008460000000000.0,9.01
2021-04-20,9.32625,2648540000000000.0,11.69
2021-04-21,8.638333333333334,3276200000000000.0,12.5
2021-04-22,7.18875,3437970000000000.0,10.55
2021-04-23,8.974583333333333,3347460000000000.0,13.97
2021-04-24,5.215833333333334,2994970000000000.0,9.01
2021-04-25,7.277083333333334,2420026200000000.0,5.31
2021-04-26,7.673750000000001,2955740000000000.0,10.27
2021-04-27,9.625,3543872000000000.0,10.95
2021-04-28,10.00375,3856740000000000.0,7.65
2021-04-29,7.823333333333334,3164680000000000.0,8.94
2021-04-30,5.065,3350010000000000.0,7.78
2021-05-01,5.023750000000001,3685330000000000.0,6.38
2021-05-02,5.965000000000001,3461530000000000.0,4.69
2021-05-03,10.203333333333331,3246350000000000.0,5.79
2021-05-04,10.169166666666667,3097328000000000.0,5.37
2021-05-05,8.1725,3367350000000000.0,5.78
2021-05-06,6.71,3120608000000000.0,5.05
2021-05-07,11.089166666666667,2998614000000000.0,4.58
2021-05-08,7.3475,3843340000000000.0,2.94
2021-05-09,10.71,3406180000000000.0,3.46
2021-05-10,10.942083333333333,2950890000000000.0,4.26
2021-05-11,8.77,2789160000000000.0,5.22
2021-05-12,9.928333333333333,3672430000000000.0,4.94
2021-05-13,9.130833333333335,3364054000000000.0,3.34
2021-05-14,4.009583333333334,2105110000000000.0,2.04
2021-05-15,1.9533333333333327,2797876000000000.0,1.98
2021-05-16,3.6875,3037124000000000.0,2.0
2021-05-17,5.968750000000001,2895038000000000.0,1.04
2021-05-18,4.828749999999999,3062926000000000.0,1.25
2021-05-19,5.237499999999999,2923680000000000.0,1.91
2021-05-20,7.737083333333333,3636308000000000.0,2.2
2021-05-21,8.309583333333334,2571366000000000.0,1.9
2021-05-22,6.8325000000000005,3169672000000000.0,2.15
2021-05-23,5.909166666666667,2776710000000000.0,3.87
2021-05-24,6.410416666666666,3301430000000000.0,5.43
2021-05-25,7.197500000000002,2951150000000000.0,4.42
2021-05-26,6.809583333333333,2972890000000000.0,3.51
2021-05-27,11.254166666666665,2442550000000000.0,5.5
2021-05-28,7.723749999999999,3255398000000000.0,4.24
2021-05-29,6.133749999999999,3003842000000000.0,14.94
2021-05-30,6.0025,2459400000000000.0,11.5
2021-05-31,5.120833333333333,3403170000000000.0,16.39
2021-06-01,5.568749999999999,2446570000000000.0,14.19
2021-06-02,7.737083333333334,3456580000000000.0,14.56
2021-06-03,8.15125,2831280000000000.0,22.7
2021-06-04,8.157916666666667,3128852000000000.0,16.54
2021-06-05,6.2975,3391972000000000.0,13.82
2021-06-06,8.1775,2889370000000000.0,14.03
2021-06-07,6.588333333333335,3016396000000000.0,23.84
2021-06-08,7.547500000000003,3183316000000000.0,19.71
2021-06-09,11.102083333333333,2047080000000000.0,19.47
2021-06-10,8.132916666666667,3567320000000000.0,15.2
2021-06-11,8.352083333333335,2834682000000000.0,22.49
2021-06-12,3.5541666666666667,2690972000000000.0,18.29
2021-06-13,7.296666666666668,2382248000000000.0,13.67
2021-06-14,6.360416666666666,2501746000000000.0,15.85
2021-06-15,4.363333333333334,2645054000000000.0,15.36
2021-06-16,5.535416666666666,2692326000000000.0,10.79
2021-06-17,4.719583333333333,3170400000000000.0,20.42
2021-06-18,4.580416666666667,3212970000000000.0,19.09
2021-06-19,5.399166666666666,3466030000000000.0,20.51
2021-06-20,7.211666666666666,2508292000000000.0,14.6
2021-06-21,5.243333333333334,2926106000000000.0,27.71
2021-06-22,7.271666666666668,2558410000000000.0,29.95
2021-06-23,6.947499999999999,3102406000000000.0,24.99
2021-06-24,6.875000000000003,3177180000000000.0,21.82
2021-06-25,6.983333333333333,3155540000000000.0,22.49
2021-06-26,4.376666666666668,3164400000000000.0,19.99
2021-06-27,6.54625,2395776000000000.0,20.49
2021-06-28,9.112916666666663,2304644000000000.0,23.52
2021-06-29,6.763750000000002,2861920000000000.0,19.69
2021-06-30,5.264583333333333,3029270000000000.0,20.68
2021-07-01,6.817916666666666,3056506000000000.0,21.61
2021-07-02,9.906666666666665,3623490000000000.0,19.4
2021-07-03,6.6675,2585630000000000.0,20.36
2021-07-04,6.243750000000002,2882470000000000.0,16.54
2021-07-05,5.558750000000001,2319820000000000.0,26.72
2021-07-06,6.497916666666668,3300270000000000.0,34.26
2021-07-07,8.457083333333335,3005840000000000.0,60.56
2021-07-08,6.085416666666667,2313454000000000.0,63.14
2021-07-09,6.025416666666666,3595580000000000.0,67.09
2021-07-10,3.455416666666667,2600054000000000.0,58.26
2021-07-11,3.5529166666666665,2972720000000000.0,59.84
2021-07-12,4.727083333333334,2511672000000000.0,51.79
2021-07-13,4.339583333333334,3108838000000000.0,57.07
2021-07-14,5.557916666666667,3449084000000000.0,54.81
2021-07-15,6.616666666666668,3272812000000000.0,55.84
2021-07-16,5.117916666666666,3100276000000000.0,57.5
2021-07-17,3.077083333333334,3769890000000000.0,55.2
2021-07-18,3.710833333333334,2913024000000000.0,65.63
2021-07-19,4.793333333333334,2792106000000000.0,58.51
2021-07-20,4.628333333333333,2817070000000000.0,47.98
2021-07-21,3.7891666666666666,3101802000000000.0,49.29
2021-07-22,3.755833333333333,2844114000000000.0,47.11
2021-07-23,4.66125,4695826000000000.0,41.8
2021-07-24,3.0004166666666667,2580772000000000.0,59.85
2021-07-25,4.003749999999999,3722214000000000.0,67.41
2021-07-26,7.0,2500810000000000.0,62.66
2021-07-27,5.7575,2822310000000000.0,56.98
2021-07-28,8.15375,3142830000000000.0,65.81
2021-07-29,5.759583333333333,2549310000000000.0,48.72
2021-07-30,4.225416666666666,3168944000000000.0,54.97
2021-07-31,3.2220833333333334,2947550000000000.0,58.29
2021-08-01,2.98125,2821476000000000.0,80.48
2021-08-02,4.923749999999999,2721580000000000.0,63.84
2021-08-03,4.345,2907474000000000.0,58.59
2021-08-04,4.439166666666666,3362840000000000.0,82.66
2021-08-05,3.9066666666666654,3308030000000000.0,66.63
2021-08-06,3.673333333333333,2758474000000000.0,68.46
2021-08-07,3.907083333333333,2746774000000000.0,86.65
2021-08-08,8.088750000000001,3585448000000000.0,69.16
2021-08-09,6.510416666666668,2264420000000000.0,62.42
2021-08-10,5.725416666666667,2817488000000000.0,67.26
2021-08-11,4.991666666666666,2907476000000000.0,77.56
2021-08-12,5.566666666666666,1742390000000000.0,88.96
2021-08-13,4.1291666666666655,3082250000000000.0,71.69
2021-08-14,3.870833333333332,2711018000000000.0,79.78
2021-08-15,4.032499999999999,2941436000000000.0,83.72
2021-08-16,6.225833333333334,3351550000000000.0,74.65
2021-08-17,7.826249999999998,3080374000000000.0,66.76
2021-08-18,8.414583333333331,3335692000000000.0,54.45
2021-08-19,8.060833333333337,3087864000000000.0,73.78
2021-08-20,9.9,3181286000000000.0,73.98
2021-08-21,6.760833333333333,3802118000000000.0,70.11
2021-08-22,5.9625,3066900000000000.0,74.37
2021-08-23,6.492916666666666,2980070000000000.0,60.22
2021-08-24,6.385416666666665,2992410000000000.0,59.99
2021-08-25,7.049583333333334,2368042000000000.0,66.58
2021-08-26,6.6883333333333335,3492138000000000.0,58.08
2021-08-27,6.175416666666667,2735288000000000.0,84.48
2021-08-28,4.932083333333334,3010598000000000.0,72.48
2021-08-29,5.975000000000002,3314792000000000.0,83.28
2021-08-30,7.114583333333333,2742116000000000.0,81.41
2021-08-31,9.775,2617114000000000.0,73.87
2021-09-01,8.179583333333333,2979308000000000.0,54.05
2021-09-02,7.148750000000001,3387726000000000.0,55.95
2021-09-03,9.212916666666665,2622622000000000.0,46.62
2021-09-04,4.284999999999999,3090398000000000.0,81.22
2021-09-05,3.956666666666667,2863262000000000.0,78.0
2021-09-06,5.999583333333334,2853232000000000.0,61.79
2021-09-07,5.28625,3542190000000000.0,41.72
2021-09-08,5.180416666666666,2931102000000000.0,9.75
2021-09-09,5.909999999999999,3756276000000000.0,8.13
2021-09-10,5.662083333333332,2307576000000000.0,7.99
2021-09-11,4.038749999999999,2337078000000000.0,7.36
2021-09-12,3.737499999999999,4464100000000000.0,5.68
2021-09-13,5.129166666666666,2254240000000000.0,6.22
2021-09-14,7.478333333333333,2725126000000000.0,7.55
2021-09-15,6.09125,2863960000000000.0,7.29
2021-09-16,7.649166666666669,2783086000000000.0,9.98
2021-09-17,6.853750000000002,2806500000000000.0,10.34
2021-09-18,4.210416666666666,3016862000000000.0,11.08
2021-09-19,3.819166666666666,2579020000000000.0,12.92
2021-09-20,5.095416666666666,2653470000000000.0,13.43
2021-09-21,5.15875,3345200000000000.0,14.9
2021-09-22,4.89625,2592090000000000.0,18.62
2021-09-23,5.482499999999998,3060860000000000.0,20.07
2021-09-24,5.479166666666665,2926310000000000.0,21.15
2021-09-25,4.26125,2953550000000000.0,16.31
2021-09-26,4.166666666666666,3009322000000000.0,18.33
2021-09-27,5.825416666666668,2997792000000000.0,21.35
2021-09-28,5.923749999999999,3260960000000000.0,25.12
2021-09-29,6.7870833333333325,2887290000000000.0,32.52
2021-09-30,7.634166666666666,3723400000000000.0,34.96
2021-10-01,5.572083333333334,3203930000000000.0,41.64
2021-10-02,5.08875,2948626000000000.0,48.13
2021-10-03,6.119166666666666,3651026000000000.0,45.98
2021-10-04,7.752916666666667,3011542000000000.0,34.82
2021-10-05,7.615833333333334,2784650000000000.0,15.23
2021-10-06,9.930833333333334,2916752200000000.0,19.07
2021-10-07,7.353333333333333,3148640000000000.0,13.88
2021-10-08,6.439583333333334,3256230000000000.0,10.94
2021-10-09,6.480416666666667,2528890000000000.0,9.44
2021-10-10,6.515416666666666,2946450000000000.0,11.38
2021-10-11,8.467500000000003,3076448000000000.0,11.64
2021-10-12,7.31375,3053556000000000.0,10.6
2021-10-13,5.926666666666667,3156932000000000.0,10.54
2021-10-14,7.476249999999999,2730460000000000.0,9.41
2021-10-15,8.093749999999998,3552310000000000.0,11.1
2021-10-16,7.042083333333334,2581290000000000.0,12.4
2021-10-17,6.30875,2740118000000000.0,9.62
2021-10-18,8.184583333333334,3094482000000000.0,15.04
2021-10-19,5.084583333333334,3356680000000000.0,13.77
2021-10-20,7.134583333333335,2864114000000000.0,16.21
2021-10-21,9.777916666666664,3361640000000000.0,15.38
2021-10-22,11.146250000000002,3054960000000000.0,13.81
2021-10-23,5.00875,3801138000000000.0,12.36
2021-10-24,8.093333333333335,4073780000000000.0,18.43
2021-10-25,6.867083333333334,3429624000000000.0,24.24
2021-10-26,7.340416666666667,2668290000000000.0,22.4
2021-10-27,10.693333333333335,3057578000000000.0,20.84
2021-10-28,10.667916666666663,5119840000000000.0,16.73
2021-10-29,10.922083333333331,2799782000000000.0,15.53
2021-10-30,8.215000000000002,3120270000000000.0,13.1
2021-10-31,6.127083333333334,3147870000000000.0,17.51
2021-11-01,11.503333333333332,3548338000000000.0,15.19
2021-11-02,12.1275,3440920000000000.0,13.88
2021-11-03,10.425,2955904000000000.0,8.13
2021-11-04,7.398750000000002,3341150000000000.0,7.26
2021-11-05,7.079583333333333,3257808000000000.0,5.3
2021-11-06,4.723333333333334,3496290000000000.0,6.71
2021-11-07,7.4308,4220140000000000.0,8.53
2021-11-08,10.967916666666667,3070918000000000.0,10.19
2021-11-09,12.492083333333332,2873896000000000.0,12.7
2021-11-10,11.637083333333337,3101492000000000.0,17.42
2021-11-11,8.664166666666667,3352810000000000.0,19.1
2021-11-12,15.766666666666667,3277952000000000.0,18.04
2021-11-13,7.346249999999999,3234746000000000.0,13.43
2021-11-14,6.483333333333333,2711964000000000.0,10.24
2021-11-15,9.895416666666668,991671000000000.0,11.98
2021-11-16,5.420416666666667,2517572000000000.0,13.94
2021-11-17,6.5370833333333325,2865652000000000.0,13.86
2021-11-18,12.454583333333334,2625802000000000.0,27.22
2021-11-19,9.597083333333332,3524442000000000.0,31.97
2021-11-20,4.576666666666667,3216380000000000.0,32.66
2021-11-21,5.480833333333333,3337502000000000.0,25.01
2021-11-22,6.951666666666667,3093790000000000.0,28.39
2021-11-23,6.944999999999999,2838180000000000.0,38.24
2021-11-24,11.482916666666666,3169806000000000.0,47.75
2021-11-25,9.060416666666669,2483270000000000.0,56.31
2021-11-26,10.201666666666666,3612844000000000.0,57.88
2021-11-27,9.647916666666664,2694850000000000.0,53.36
2021-11-28,9.553333333333333,2214178000000000.0,63.0
2021-11-29,10.539166666666668,3615294000000000.0,49.06
2021-11-30,11.297083333333337,3064570000000000.0,54.47
2021-12-01,6.116250000000001,2560920000000000.0,58.05
2021-12-02,10.971666666666666,3304570000000000.0,44.45
2021-12-03,10.7275,3320712000000000.0,65.84
2021-12-04,6.970000000000002,3803950000000000.0,61.0
2021-12-05,7.437916666666667,3322048000000000.0,14.67
2021-12-06,7.072916666666667,3119410000000000.0,80.74
2021-12-07,8.78375,3084904000000000.0,51.33
2021-12-08,10.632916666666668,2986170000000000.0,18.47
2021-12-09,9.484583333333331,3092560000000000.0,15.5
2021-12-10,8.072916666666668,3295768000000000.0,16.66
2021-12-11,9.069166666666666,3874080000000000.0,16.02
2021-12-12,7.99875,3196968000000000.0,14.91
2021-12-13,7.916666666666665,2177110000000000.0,17.33
2021-12-14,8.616666666666667,2735206000000000.0,11.7
2021-12-15,7.395833333333333,2770800000000000.0,13.09
2021-12-16,10.22625,3069922000000000.0,15.39
2021-12-17,7.8525,3737460000000000.0,19.4
2021-12-18,5.4575,5061740000000000.0,20.07
2021-12-19,8.054583333333332,3323718000000000.0,21.69
2021-12-20,9.508333333333336,5062810000000000.0,24.06
2021-12-21,12.435416666666669,3175802000000000.0,26.83
2021-12-22,9.804166666666667,3885860000000000.0,15.95
2021-12-23,9.172083333333331,3472804000000000.0,20.72
2021-12-24,6.480833333333332,3225820000000000.0,19.55
2021-12-25,6.18,3273720000000000.0,18.31
2021-12-26,7.356249999999999,3812382000000000.0,17.62
2021-12-27,6.654166666666666,3883490000000000.0,17.29
2021-12-28,9.19875,2844376000000000.0,19.59
2021-12-29,7.84875,3624990000000000.0,22.26
2021-12-30,9.94875,2702938000000000.0,21.07
2021-12-31,7.772083333333334,2859250000000000.0,21.79
