date,open_NO2,sate_NO2,"Kariavattom, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram - Kerala PCB"
2020-11-24,1.5675,3714250000000000.0,21.11,21.11
2020-11-25,0.5599999999999999,3080294000000000.0,22.08,22.08
2020-11-26,1.43,2223940000000000.0,15.3,19.94
2020-11-27,1.3925,2304188000000000.0,9.44,3.16
2020-11-28,3.240416666666667,2763630000000000.0,13.05,10.15
2020-11-29,3.38625,3033920000000000.0,15.1,16.04
2020-11-30,3.659583333333333,2627232000000000.0,3.85,3.85
2020-12-01,4.078333333333333,2576110000000000.0,10.66,8.07
2020-12-02,3.902083333333334,2757354000000000.0,11.53,6.56
2020-12-03,5.687500000000001,2880120000000000.0,12.79,11.11
2020-12-04,7.405833333333334,2337834000000000.0,16.47,17.66
2020-12-05,3.567500000000001,2654178000000000.0,20.27,19.1
2020-12-06,3.4512500000000004,2865420000000000.0,23.2,19.42
2020-12-07,5.704583333333333,3264862000000000.0,15.17,12.75
2020-12-08,10.480833333333337,3852280000000000.0,15.7,15.02
2020-12-09,7.366250000000001,2743292000000000.0,12.24,12.72
2020-12-10,6.429166666666667,2404210000000000.0,13.55,14.09
2020-12-11,2.8316666666666666,2621412000000000.0,15.96,19.43
2020-12-12,1.831666666666667,2575960000000000.0,15.86,15.01
2020-12-13,1.892083333333333,2404560000000000.0,11.35,11.59
2020-12-14,3.8274999999999992,2858590000000000.0,15.5,16.79
2020-12-15,4.238333333333333,2487000000000000.0,13.8,18.08
2020-12-16,4.089166666666666,2731866000000000.0,14.51,17.15
2020-12-17,2.5245833333333327,3280260000000000.0,13.92,14.89
2020-12-18,7.253750000000001,2825756000000000.0,15.86,23.38
2020-12-19,5.007083333333333,2369060000000000.0,17.73,12.5
2020-12-20,4.426666666666667,2458690000000000.0,14.95,14.54
2020-12-21,7.5625,2419760000000000.0,22.02,20.0
2020-12-22,6.842500000000001,2793202000000000.0,17.35,22.48
2020-12-23,9.678333333333333,2891720000000000.0,17.46,18.22
2020-12-24,5.0925,2040810000000000.0,16.19,17.8
2020-12-25,5.189166666666668,2450528000000000.0,14.94,13.84
2020-12-26,3.9041666666666672,3137440000000000.0,16.62,16.62
2020-12-27,4.772083333333333,2887260000000000.0,12.75,12.75
2020-12-28,5.362916666666667,2295450000000000.0,19.06,19.06
2020-12-29,4.514166666666666,2769194000000000.0,17.64,12.99
2020-12-30,4.940833333333333,3003880000000000.0,18.6,18.29
2020-12-31,6.523750000000002,1442740000000000.0,16.82,15.14
2021-01-01,7.107083333333332,2362732000000000.0,15.11,20.35
2021-01-02,3.5900000000000003,2184150000000000.0,14.07,21.28
2021-01-03,4.122083333333333,3138138000000000.0,15.89,15.71
2021-01-04,5.595416666666666,2961226000000000.0,14.86,18.01
2021-01-05,2.24375,2769328000000000.0,11.42,21.63
2021-01-06,6.41125,2392000000000000.0,16.25,19.58
2021-01-07,5.7375,2871356000000000.0,13.46,14.86
2021-01-08,4.652083333333333,2627320000000000.0,12.43,14.53
2021-01-09,5.290833333333333,2728108000000000.0,12.47,18.85
2021-01-10,6.21375,2660686000000000.0,11.27,12.74
2021-01-11,7.041666666666665,2764174000000000.0,16.24,22.56
2021-01-12,6.782916666666668,2705046000000000.0,16.42,24.44
2021-01-13,7.170416666666665,2704202000000000.0,15.17,19.99
2021-01-14,11.274166666666668,2839548000000000.0,13.06,17.7
2021-01-15,12.735,2044190000000000.0,14.87,21.22
2021-01-16,7.528333333333333,1179020000000000.0,13.26,21.39
2021-01-17,6.78375,2865068000000000.0,13.1,19.6
2021-01-18,5.158333333333333,2047130000000000.0,16.26,19.08
2021-01-19,2.51625,2741552000000000.0,16.46,18.95
2021-01-20,2.7212499999999995,3864760000000000.0,19.72,18.62
2021-01-21,4.2025,2882952000000000.0,16.83,20.07
2021-01-22,2.9150000000000005,2662880000000000.0,12.44,16.72
2021-01-23,3.893333333333333,2678704000000000.0,16.95,16.48
2021-01-24,3.5741666666666663,2924500000000000.0,14.77,15.82
2021-01-25,5.754583333333334,1998630000000000.0,18.79,22.62
2021-01-26,3.6715,2936210000000000.0,17.89,15.64
2021-01-27,3.9425,2076130000000000.0,18.19,18.37
2021-01-28,2.2983333333333333,2765262000000000.0,21.4,21.4
2021-01-29,2.512916666666667,2248270000000000.0,23.13,23.13
2021-01-30,1.71875,2578432000000000.0,16.87,18.53
2021-01-31,2.5620833333333333,3073640000000000.0,15.98,12.4
2021-02-01,4.6475,2584040000000000.0,17.31,29.83
2021-02-02,5.751666666666666,2872470000000000.0,17.53,21.39
2021-02-03,6.387083333333332,2728510000000000.0,18.54,18.96
2021-02-04,4.802083333333334,1841070000000000.0,18.19,20.07
2021-02-05,3.82375,2922360000000000.0,19.44,19.68
2021-02-06,3.143333333333334,2626912000000000.0,17.5,18.0
2021-02-07,2.9445833333333336,2947860000000000.0,18.76,14.88
2021-02-08,5.161666666666668,2421550000000000.0,11.51,8.18
2021-02-09,3.8545833333333337,2424500000000000.0,18.21,28.93
2021-02-10,3.992083333333333,2802390000000000.0,20.74,30.46
2021-02-11,5.260416666666667,2903140000000000.0,20.04,25.26
2021-02-12,3.3191666666666677,2154560000000000.0,19.39,23.85
2021-02-13,2.2100000000000004,2643526000000000.0,17.03,23.84
2021-02-14,2.565,2575520000000000.0,15.7,21.17
2021-02-15,2.2558333333333334,2686040000000000.0,19.77,22.36
2021-02-16,2.1562500000000004,2863570000000000.0,18.23,21.12
2021-02-17,2.4020833333333336,2445980000000000.0,15.88,21.35
2021-02-18,2.7975,3813540000000000.0,18.33,22.61
2021-02-19,1.4058333333333335,3838970000000000.0,17.84,22.16
2021-02-20,1.9441666666666664,3532010000000000.0,16.2,23.47
2021-02-21,2.766666666666666,2571210000000000.0,15.78,19.55
2021-02-22,2.609583333333333,2696632000000000.0,15.25,24.02
2021-02-23,2.474166666666666,2062740000000000.0,16.05,21.96
2021-02-24,1.7295833333333333,2358200000000000.0,14.84,23.05
2021-02-25,3.387916666666667,2597270000000000.0,18.02,20.02
2021-02-26,3.5841666666666665,3713330000000000.0,19.15,21.45
2021-02-27,1.567083333333333,3429610000000000.0,12.49,20.42
2021-02-28,4.432083333333334,2954830000000000.0,12.48,16.78
2021-03-01,3.297083333333333,2766450000000000.0,12.5,25.2
2021-03-02,3.0362500000000003,2965940000000000.0,12.51,19.79
2021-03-03,5.192083333333334,2561112000000000.0,12.45,18.66
2021-03-04,6.190833333333334,2599520000000000.0,12.54,26.51
2021-03-05,2.6991666666666667,2393020000000000.0,12.49,23.15
2021-03-06,1.96875,2963450000000000.0,12.49,26.74
2021-03-07,3.1216666666666675,2866180000000000.0,12.44,22.35
2021-03-08,5.66375,3358650000000000.0,12.52,22.7
2021-03-09,7.247500000000001,3487000000000000.0,13.3,20.48
2021-03-10,4.585833333333334,3089264000000000.0,14.81,18.8
2021-03-11,4.376666666666667,2374730000000000.0,16.22,18.8
2021-03-12,10.525416666666668,2408200000000000.0,18.83,21.01
2021-03-13,2.799166666666667,2898470000000000.0,15.77,23.63
2021-03-14,5.093913043478262,2816480000000000.0,17.83,23.58
2021-03-15,2.6591666666666662,3055090000000000.0,21.12,26.3
2021-03-16,2.9258333333333333,2393400000000000.0,17.05,23.41
2021-03-17,5.936666666666667,2106490000000000.0,16.04,23.76
2021-03-18,3.5300000000000007,2549190000000000.0,18.0,21.92
2021-03-19,1.6520833333333331,2821726000000000.0,15.66,24.49
2021-03-20,1.035,2288900000000000.0,15.42,21.57
2021-03-21,2.901666666666667,2059240000000000.0,16.43,18.13
2021-03-22,5.503333333333333,2235940000000000.0,17.67,22.94
2021-03-23,6.473333333333333,2261110000000000.0,15.91,22.44
2021-03-24,3.8504166666666655,3040720000000000.0,15.0,23.33
2021-03-25,4.607500000000001,2729800000000000.0,17.46,25.31
2021-03-26,3.340833333333333,2739700000000000.0,17.26,21.87
2021-03-27,3.058333333333333,2332290000000000.0,16.04,24.36
2021-03-28,3.4066666666666667,2265370000000000.0,14.8,21.56
2021-03-29,1.99,2961760000000000.0,12.87,18.18
2021-03-30,1.21125,2823360000000000.0,14.62,19.33
2021-03-31,0.715,2974940000000000.0,16.29,21.6
2021-04-01,3.45,2736690000000000.0,19.76,17.81
2021-04-02,0.7158333333333333,2584810000000000.0,18.23,18.06
2021-04-03,0.8654166666666666,2404370000000000.0,16.68,20.97
2021-04-04,2.4404166666666662,2475294000000000.0,13.39,15.84
2021-04-05,2.72,2647470000000000.0,14.9,18.4
2021-04-06,3.8575,2664940000000000.0,13.73,17.49
2021-04-07,2.2808333333333333,2786400000000000.0,13.19,20.47
2021-04-08,1.6658333333333335,2884590000000000.0,19.94,21.97
2021-04-09,0.8941666666666667,3110880000000000.0,18.44,20.89
2021-04-10,1.9075,2546410000000000.0,14.45,18.43
2021-04-11,1.87875,2848820000000000.0,14.62,16.63
2021-04-12,2.6125,2225320000000000.0,16.55,20.91
2021-04-13,4.676666666666666,2285280000000000.0,12.42,20.53
2021-04-14,0.9008333333333334,3117950000000000.0,13.01,14.0
2021-04-15,1.82625,2986520000000000.0,14.67,17.64
2021-04-16,1.2775,4759150000000000.0,16.75,18.75
2021-04-17,1.2895833333333333,3192680000000000.0,16.47,20.13
2021-04-18,2.658333333333333,3312938000000000.0,13.64,16.95
2021-04-19,1.8954166666666667,2887050000000000.0,16.23,18.35
2021-04-20,2.4704166666666665,2465280000000000.0,19.29,25.38
2021-04-21,2.40875,3028120000000000.0,19.27,23.27
2021-04-22,2.745,2473860000000000.0,16.0,19.75
2021-04-23,2.719583333333334,2938400000000000.0,18.03,21.14
2021-04-24,2.083333333333333,2854600000000000.0,13.78,16.46
2021-04-25,1.7999999999999998,3316230000000000.0,11.94,13.95
2021-04-26,2.1533333333333338,2650410000000000.0,16.47,23.22
2021-04-27,1.352083333333333,2986630000000000.0,16.09,18.02
2021-04-28,1.4320833333333336,2644100000000000.0,16.11,17.12
2021-04-29,1.0529166666666667,2856890000000000.0,14.75,21.21
2021-04-30,2.150416666666666,3043680000000000.0,16.26,19.95
2021-05-01,1.097916666666667,2521850000000000.0,12.64,15.95
2021-05-02,4.232499999999999,3362390000000000.0,12.6,12.6
2021-05-03,2.512083333333333,2898110000000000.0,21.47,21.47
2021-05-04,5.102916666666666,2476830000000000.0,13.99,13.99
2021-05-05,6.713333333333332,2862830000000000.0,12.32,16.66
2021-05-06,3.864166666666668,2817304000000000.0,12.0,15.82
2021-05-07,5.8879166666666665,3301020000000000.0,12.26,17.17
2021-05-08,2.2683333333333326,3396780000000000.0,10.16,14.16
2021-05-09,4.9070833333333335,2997970000000000.0,8.96,14.8
2021-05-10,1.200416666666667,3313390000000000.0,9.49,16.44
2021-05-11,1.529166666666666,2813928000000000.0,9.21,10.43
2021-05-12,1.6574999999999998,3268750000000000.0,10.21,14.69
2021-05-13,1.1095833333333334,2554796000000000.0,9.76,10.57
2021-05-14,0.6166666666666668,2468136000000000.0,12.87,12.87
2021-05-15,0.7645833333333333,2681958000000000.0,12.81,12.81
2021-05-16,0.9495833333333332,2783384000000000.0,15.73,15.73
2021-05-17,0.8462500000000001,2985300000000000.0,19.81,19.81
2021-05-18,0.7116666666666666,3511400000000000.0,14.76,14.76
2021-05-19,0.8108333333333335,2911810000000000.0,11.59,11.59
2021-05-20,0.8175,2665106000000000.0,13.15,13.15
2021-05-21,1.0116666666666667,2277350000000000.0,13.25,13.25
2021-05-22,1.0216666666666665,2723724000000000.0,14.9,14.9
2021-05-23,1.0766666666666669,2845078000000000.0,18.56,18.56
2021-05-24,0.6133333333333333,3536730000000000.0,10.28,17.77
2021-05-25,1.2500000000000002,3109404000000000.0,9.82,14.93
2021-05-26,0.7537500000000001,2752696000000000.0,10.76,15.93
2021-05-27,0.6883333333333334,2989360000000000.0,10.26,13.85
2021-05-28,0.6858333333333334,2923270000000000.0,10.87,12.56
2021-05-29,0.65375,2916784000000000.0,9.97,12.76
2021-05-30,0.6924999999999998,2457990000000000.0,8.7,11.39
2021-05-31,0.7508333333333335,2921150000000000.0,10.42,16.04
2021-06-01,2.7695833333333333,2727970000000000.0,11.14,19.35
2021-06-02,1.3200000000000005,2993620000000000.0,11.07,15.92
2021-06-03,0.67625,2754300000000000.0,10.86,16.15
2021-06-04,0.7600000000000001,2658610000000000.0,11.57,19.04
2021-06-05,1.080833333333333,2566684000000000.0,10.4,18.85
2021-06-06,0.97875,2754860000000000.0,8.99,18.69
2021-06-07,0.7179166666666666,2909396000000000.0,11.7,16.25
2021-06-08,1.5858333333333334,2989358000000000.0,10.88,16.6
2021-06-09,2.893333333333333,2408350000000000.0,11.01,18.65
2021-06-10,1.3437499999999998,2581160000000000.0,11.31,15.89
2021-06-11,0.87125,3129750000000000.0,12.0,18.73
2021-06-12,0.8516666666666666,3003810000000000.0,9.87,17.35
2021-06-13,0.7587499999999999,2850948000000000.0,9.43,17.97
2021-06-14,0.7270833333333333,2747230000000000.0,12.81,25.36
2021-06-15,0.6445833333333334,2551810000000000.0,12.79,18.18
2021-06-16,0.92625,2603370000000000.0,12.54,18.25
2021-06-17,0.6783333333333333,3178730000000000.0,13.94,22.8
2021-06-18,0.6545833333333333,2860840000000000.0,13.0,19.65
2021-06-19,1.174583333333333,2971720000000000.0,9.96,18.46
2021-06-20,2.595,3311920000000000.0,8.13,18.73
2021-06-21,2.5154166666666664,2543324000000000.0,12.39,28.86
2021-06-22,2.50875,2880770000000000.0,13.43,21.4
2021-06-23,1.97,2778356000000000.0,14.88,24.64
2021-06-24,1.9066666666666665,2691080000000000.0,14.0,25.14
2021-06-25,0.8358333333333334,2712420000000000.0,13.2,26.33
2021-06-26,1.985833333333333,3071790000000000.0,10.34,22.08
2021-06-27,1.0954166666666667,2826020000000000.0,9.97,21.89
2021-06-28,4.564583333333332,2333530000000000.0,14.97,23.54
2021-06-29,2.904583333333333,2121980000000000.0,14.88,23.56
2021-06-30,1.5025000000000002,2721098000000000.0,15.37,21.42
2021-07-01,1.1666666666666667,2712220000000000.0,14.26,20.53
2021-07-02,0.8712499999999999,3570980000000000.0,14.35,23.75
2021-07-03,2.04875,2582120000000000.0,11.39,18.82
2021-07-04,4.477083333333333,2019980000000000.0,9.19,20.71
2021-07-05,3.5379166666666664,3539630000000000.0,12.98,20.63
2021-07-06,1.6962499999999998,3848170000000000.0,12.79,20.77
2021-07-07,1.7008333333333336,2504138000000000.0,13.83,18.76
2021-07-08,0.8129166666666666,2894510000000000.0,12.91,20.3
2021-07-09,0.6104166666666667,2669692000000000.0,14.05,20.95
2021-07-10,0.6550000000000001,2490532000000000.0,11.09,18.79
2021-07-11,0.6045833333333336,3235540000000000.0,9.28,19.15
2021-07-12,0.6837499999999999,2445550000000000.0,12.65,16.52
2021-07-13,2.3745833333333333,3162300000000000.0,13.1,17.19
2021-07-14,6.4975,3272700000000000.0,13.63,11.9
2021-07-15,2.7816666666666667,3565290000000000.0,14.33,14.03
2021-07-16,5.849166666666668,2600668000000000.0,13.28,14.39
2021-07-17,3.5383333333333327,2912160000000000.0,10.3,10.3
2021-07-18,2.5258333333333334,2696544000000000.0,9.58,9.58
2021-07-19,1.3150000000000002,3532630000000000.0,14.08,15.47
2021-07-20,1.2458333333333331,3945370000000000.0,12.55,12.9
2021-07-21,0.7575000000000003,3417750000000000.0,12.32,12.07
2021-07-22,0.78875,3738090000000000.0,13.92,11.26
2021-07-23,1.065,3038630000000000.0,15.26,13.2
2021-07-24,0.9370833333333334,2344330000000000.0,11.03,11.89
2021-07-25,0.8616666666666667,3210348000000000.0,9.35,9.28
2021-07-26,0.61125,2475610000000000.0,13.87,12.71
2021-07-27,0.8604166666666667,3366280000000000.0,13.23,9.99
2021-07-28,1.1420833333333331,2704940000000000.0,14.82,10.64
2021-07-29,2.509583333333333,3158070000000000.0,13.53,9.69
2021-07-30,1.2495833333333335,3287000000000000.0,12.38,10.17
2021-07-31,1.8504166666666664,3348400000000000.0,10.54,6.88
2021-08-01,2.799166666666667,2689100000000000.0,9.41,4.07
2021-08-02,1.147916666666667,2688200000000000.0,13.94,9.34
2021-08-03,1.4604166666666665,3517160000000000.0,13.5,9.79
2021-08-04,1.0987499999999997,3021320000000000.0,13.75,7.89
2021-08-05,1.034166666666667,3156650000000000.0,12.93,9.3
2021-08-06,0.9908333333333336,2396674000000000.0,12.4,10.29
2021-08-07,1.7729166666666665,2551468000000000.0,12.06,9.72
2021-08-08,0.8983333333333333,2368632000000000.0,10.22,6.87
2021-08-09,1.05,2675340000000000.0,16.25,8.58
2021-08-10,1.3429166666666668,2623172000000000.0,14.71,6.91
2021-08-11,1.6137499999999996,2382678000000000.0,13.88,8.33
2021-08-12,4.750416666666667,2786070000000000.0,11.04,8.93
2021-08-13,2.59125,2686360000000000.0,12.79,9.34
2021-08-14,2.498333333333333,3464060000000000.0,12.64,7.27
2021-08-15,1.5729166666666667,2827940000000000.0,11.64,6.59
2021-08-16,3.0483333333333333,2810400000000000.0,14.63,7.21
2021-08-17,0.6733333333333332,2830552000000000.0,14.75,7.57
2021-08-18,0.7941666666666668,2638454000000000.0,14.37,8.35
2021-08-19,3.795833333333333,4287290000000000.0,14.41,7.18
2021-08-20,3.149166666666668,2878430000000000.0,14.11,6.07
2021-08-21,4.74375,3224090000000000.0,11.11,6.35
2021-08-22,1.255,3879630000000000.0,12.39,6.37
2021-08-23,0.6404166666666666,3659110000000000.0,12.0,5.66
2021-08-24,0.6124999999999999,2755818000000000.0,10.31,8.6
2021-08-25,0.8633333333333333,2702020000000000.0,12.82,9.41
2021-08-26,0.53,2950026000000000.0,12.69,8.93
2021-08-27,0.515,3285620000000000.0,12.8,4.82
2021-08-28,0.8483333333333335,4638110000000000.0,13.38,6.74
2021-08-29,0.9233333333333332,2849620000000000.0,9.47,6.96
2021-08-30,2.874166666666666,3649840000000000.0,13.4,7.73
2021-08-31,1.2545833333333336,3049240000000000.0,13.69,14.23
2021-09-01,1.9875,3314900000000000.0,13.02,6.87
2021-09-02,1.8808333333333327,2601902000000000.0,14.03,5.07
2021-09-03,1.0145833333333332,2684744000000000.0,16.35,5.77
2021-09-04,0.7291666666666669,4085700000000000.0,14.07,6.0
2021-09-05,0.5675,2679790000000000.0,9.7,6.13
2021-09-06,0.6687500000000001,2892120000000000.0,13.36,6.63
2021-09-07,1.0258333333333336,3200510000000000.0,14.72,7.68
2021-09-08,0.8662499999999999,3130260000000000.0,14.22,6.36
2021-09-09,2.9524999999999992,3041094000000000.0,13.72,4.96
2021-09-10,1.34,2976890000000000.0,13.03,5.4
2021-09-11,0.6325000000000001,2610514000000000.0,14.04,6.02
2021-09-12,0.8124999999999999,2907250000000000.0,12.58,6.24
2021-09-13,0.81875,1350910000000000.0,12.66,6.12
2021-09-14,0.8495833333333334,2686540000000000.0,13.24,7.12
2021-09-15,0.68375,3411460000000000.0,13.68,28.85
2021-09-16,4.31125,2958950000000000.0,13.72,10.16
2021-09-17,4.59,3087950000000000.0,13.66,7.6
2021-09-18,4.886666666666668,2825656000000000.0,13.56,7.37
2021-09-19,5.047916666666666,2817430000000000.0,12.65,8.17
2021-09-20,2.733333333333333,3086430000000000.0,14.3,8.44
2021-09-21,1.748333333333333,3557760000000000.0,14.19,4.31
2021-09-22,1.5837499999999995,3034750000000000.0,13.93,7.1
2021-09-23,2.36125,3196290000000000.0,13.07,7.1
2021-09-24,1.97125,2220230000000000.0,12.86,6.99
2021-09-25,0.9754166666666668,2698806000000000.0,13.09,8.53
2021-09-26,0.6783333333333332,2797286000000000.0,11.64,11.5
2021-09-27,0.9420833333333332,2735342000000000.0,9.96,13.58
2021-09-28,1.9208333333333332,2748680000000000.0,13.87,13.88
2021-09-29,2.5754166666666665,2528070000000000.0,14.75,12.52
2021-09-30,4.238333333333334,3294730000000000.0,14.66,12.28
2021-10-01,6.575416666666668,2727868000000000.0,15.34,11.93
2021-10-02,3.1358333333333337,2528182000000000.0,14.5,12.22
2021-10-03,1.7129166666666666,4370990000000000.0,13.79,12.44
2021-10-04,2.1625,2479010000000000.0,14.81,12.59
2021-10-05,1.1733333333333331,3200880000000000.0,15.74,12.19
2021-10-06,1.0216666666666667,2794060000000000.0,13.95,12.59
2021-10-07,1.0283333333333335,3106140000000000.0,9.96,13.04
2021-10-08,0.7870833333333334,2964880000000000.0,10.86,13.8
2021-10-09,0.9141666666666666,2629724000000000.0,12.27,12.94
2021-10-10,0.8575,2039280000000000.0,12.33,11.83
2021-10-11,1.15,2749948000000000.0,14.06,10.71
2021-10-12,2.2495833333333333,2492272000000000.0,13.8,12.05
2021-10-13,1.0575,2850768000000000.0,14.82,11.55
2021-10-14,0.7645833333333334,2616190000000000.0,13.18,11.44
2021-10-15,0.8520833333333333,3039260000000000.0,11.83,11.32
2021-10-16,0.9683333333333328,3036096000000000.0,16.64,11.15
2021-10-17,0.4991666666666668,3038520000000000.0,15.86,10.65
2021-10-18,1.3845833333333335,3312180000000000.0,16.94,10.97
2021-10-19,3.47,3002610000000000.0,14.98,10.6
2021-10-20,7.322083333333334,2677936000000000.0,16.71,10.63
2021-10-21,2.829166666666667,2568030000000000.0,14.4,11.04
2021-10-22,2.199583333333333,3228080000000000.0,12.49,10.6
2021-10-23,1.0804166666666666,2986968000000000.0,11.07,10.72
2021-10-24,2.347083333333333,3198320000000000.0,13.43,10.55
2021-10-25,4.734583333333333,2168390000000000.0,16.02,11.01
2021-10-26,5.610416666666666,3344270000000000.0,10.14,10.14
2021-10-27,4.85,2570256000000000.0,9.74,9.74
2021-10-28,3.8141666666666674,3457320000000000.0,9.71,9.71
2021-10-29,3.66875,2355198000000000.0,10.13,10.13
2021-10-30,1.7195833333333337,2738252000000000.0,10.77,10.77
2021-10-31,4.9025,2762098000000000.0,10.83,10.83
2021-11-01,5.74125,2765230000000000.0,18.13,25.38
2021-11-02,4.684166666666666,3549610000000000.0,12.71,29.9
2021-11-03,2.2679166666666664,2740810000000000.0,12.48,29.31
2021-11-04,0.6883333333333335,3057462000000000.0,8.68,30.5
2021-11-05,0.8533333333333334,2700676000000000.0,11.6,28.75
2021-11-06,1.5875,2812160000000000.0,13.99,25.68
2021-11-07,1.4568000000000003,2799398000000000.0,13.96,26.18
2021-11-08,7.662916666666669,2838382000000000.0,13.56,28.17
2021-11-09,5.26625,4159310000000000.0,16.0,30.58
2021-11-10,4.38375,2443790000000000.0,18.93,25.52
2021-11-11,0.5829166666666669,3909020000000000.0,18.19,21.22
2021-11-12,0.6383333333333333,3258990000000000.0,16.17,20.05
2021-11-13,0.6825000000000001,3216268000000000.0,17.46,24.9
2021-11-14,0.485,2711340000000000.0,14.42,25.53
2021-11-15,0.50125,2674480000000000.0,20.23,33.43
2021-11-16,2.6225,3161680000000000.0,15.62,28.25
2021-11-17,2.9925,3014898000000000.0,16.72,26.55
2021-11-18,1.49125,2714748000000000.0,16.64,26.89
2021-11-19,0.3779166666666667,2928106000000000.0,17.55,22.53
2021-11-20,0.4354166666666667,3036100000000000.0,17.11,20.1
2021-11-21,2.115416666666667,2583166000000000.0,12.68,21.97
2021-11-22,4.599166666666667,2945450000000000.0,16.73,20.16
2021-11-23,5.8450000000000015,3111226000000000.0,16.58,17.29
2021-11-24,2.889166666666666,2554986000000000.0,14.95,14.19
2021-11-25,8.078333333333333,2438898000000000.0,15.88,16.47
2021-11-26,9.61875,2614488000000000.0,14.89,18.53
2021-11-27,5.142083333333333,5530210000000000.0,12.73,17.5
2021-11-28,5.5425,2941196000000000.0,12.68,19.78
2021-11-29,8.440833333333334,3205434000000000.0,12.89,27.51
2021-11-30,9.173333333333336,2584998000000000.0,13.55,23.25
2021-12-01,3.9445833333333336,2804290000000000.0,14.43,24.39
2021-12-02,3.2904166666666668,3039230000000000.0,15.1,20.39
2021-12-03,2.773333333333333,2735764000000000.0,18.05,14.65
2021-12-04,3.212916666666666,2699550000000000.0,16.85,14.08
2021-12-05,3.4429166666666657,3039852000000000.0,14.79,12.83
2021-12-06,9.545416666666666,2513500000000000.0,14.9,17.84
2021-12-07,2.6870833333333324,2952126000000000.0,16.95,13.93
2021-12-08,2.3129166666666667,2761180000000000.0,13.97,17.25
2021-12-09,3.4645833333333336,3123774000000000.0,13.14,22.24
2021-12-10,3.130000000000001,2752650000000000.0,15.89,35.97
2021-12-11,2.225,2761480000000000.0,14.77,110.25
2021-12-12,3.616666666666668,2542142000000000.0,14.88,182.51
2021-12-13,3.702500000000001,4768150000000000.0,13.17,110.81
2021-12-14,4.524166666666667,2642502000000000.0,14.0,25.97
2021-12-15,3.946250000000001,2877104000000000.0,14.0,26.48
2021-12-16,4.65875,2420964000000000.0,19.02,24.71
2021-12-17,3.693333333333333,2847650000000000.0,14.46,25.72
2021-12-18,2.49875,2467920000000000.0,15.85,24.97
2021-12-19,3.5024999999999995,2500560000000000.0,14.28,22.72
2021-12-20,3.33625,3507370000000000.0,17.58,28.05
2021-12-21,3.015,2548568000000000.0,15.69,26.16
2021-12-22,2.3833333333333333,3752730000000000.0,17.39,27.24
2021-12-23,3.014583333333333,3045174000000000.0,20.15,25.95
2021-12-24,2.9304166666666664,3053130000000000.0,15.72,27.75
2021-12-25,3.221666666666667,2923034000000000.0,14.02,25.95
2021-12-26,2.76,2879420000000000.0,12.67,27.07
2021-12-27,4.565000000000001,2668040000000000.0,18.17,28.66
2021-12-28,2.5283333333333333,2818930000000000.0,21.09,31.31
2021-12-29,4.21,2767420000000000.0,19.92,30.98
2021-12-30,3.49375,2690296000000000.0,17.42,26.37
2021-12-31,4.0575,3091100000000000.0,18.36,28.31
