date,open_NO2,sate_NO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2020-11-24,34.9575,5057240000000000.0,187.84,49.94,187.84,57.56,187.84
2020-11-25,29.091666666666654,4606016000000000.0,35.64,56.94,35.64,54.83,35.64
2020-11-26,30.68541666666667,6569530000000000.0,34.52,19.31,34.52,53.14,34.52
2020-11-27,35.07958333333333,5582978000000000.0,11.33,13.83,11.33,16.8,11.33
2020-11-28,29.29791666666667,6701090000000000.0,13.69,14.25,13.69,11.71,13.69
2020-11-29,28.762499999999992,4884912000000000.0,3.76,10.1,3.76,25.2,3.76
2020-11-30,45.564166666666665,5456200000000000.0,32.47,6.77,32.47,6.81,32.47
2020-12-01,41.69083333333333,4750230000000000.0,26.87,9.02,26.87,18.23,26.87
2020-12-02,44.35916666666666,5361850000000000.0,21.34,10.81,21.34,33.07,21.34
2020-12-03,53.66916666666666,5307498000000000.0,30.53,24.74,30.53,32.39,30.53
2020-12-04,48.52041666666667,5360530000000000.0,67.94,44.75,67.94,50.83,67.94
2020-12-05,39.75541666666666,9306290000000000.0,151.04,84.19,151.04,71.18,151.04
2020-12-06,43.36208333333333,5277592000000000.0,133.98,55.18,133.98,94.18,133.98
2020-12-07,46.92500000000001,5922720000000000.0,135.46,43.36,135.46,109.34,135.46
2020-12-08,48.31791666666667,5232294000000000.0,83.18,68.82,83.18,85.56,83.18
2020-12-09,45.897083333333335,3874794000000000.0,89.23,56.49,89.23,88.76,89.23
2020-12-10,45.10333333333333,5298616000000000.0,86.63,64.63,86.63,91.08,86.63
2020-12-11,23.35333333333333,4118054000000000.0,106.72,45.32,106.72,104.21,106.72
2020-12-12,19.12333333333333,8750880000000000.0,51.24,50.01,51.24,58.03,51.24
2020-12-13,16.980416666666667,4888928000000000.0,34.67,37.04,34.67,41.97,34.67
2020-12-14,34.30166666666668,5291580000000000.0,57.95,39.25,57.95,46.97,57.95
2020-12-15,41.88125,5016140000000000.0,105.04,31.09,105.04,67.81,105.04
2020-12-16,19.706666666666667,4781842000000000.0,90.63,48.96,90.63,69.88,90.63
2020-12-17,15.945,4562430000000000.0,64.52,41.81,64.52,81.77,64.52
2020-12-18,22.884999999999994,5057810000000000.0,91.64,39.64,91.64,91.46,91.64
2020-12-19,33.66833333333333,4803960000000000.0,116.7,45.27,116.7,90.75,116.7
2020-12-20,36.08375,5859160000000000.0,124.7,45.32,124.7,87.75,124.7
2020-12-21,41.44458333333333,6302380000000000.0,111.4,70.39,111.4,93.1,111.4
2020-12-22,34.05166666666667,5008856000000000.0,94.87,66.65,94.87,93.4,94.87
2020-12-23,42.141666666666666,5711290000000000.0,82.56,59.68,82.56,106.39,82.56
2020-12-24,32.87416666666667,5719740000000000.0,77.23,79.98,77.23,97.43,77.23
2020-12-25,20.35,4871150000000000.0,48.81,50.25,48.81,92.25,48.81
2020-12-26,40.20833333333332,6101348000000000.0,54.88,56.15,54.88,96.79,54.88
2020-12-27,24.351666666666663,4509400000000000.0,68.42,43.54,68.42,114.96,68.42
2020-12-28,23.972916666666677,7201230000000000.0,76.57,50.86,76.57,108.67,76.57
2020-12-29,24.54041666666666,4478188000000000.0,34.0,51.5,34.0,88.88,34.0
2020-12-30,27.47875,6980780000000000.0,30.94,45.05,30.94,108.95,30.94
2020-12-31,43.208333333333336,5216760000000000.0,32.92,44.48,32.92,106.37,32.92
2021-01-01,50.73750000000001,5762280000000000.0,64.86,71.91,64.86,116.17,64.86
2021-01-02,32.74583333333333,5763930000000000.0,82.75,80.48,82.75,99.72,82.75
2021-01-03,23.47,4138830000000000.0,60.95,66.02,60.95,79.47,60.95
2021-01-04,20.312916666666663,5288060000000000.0,49.08,58.5,49.08,72.74,49.08
2021-01-05,40.400416666666665,4991588000000000.0,39.76,55.04,39.76,71.88,39.76
2021-01-06,25.726666666666663,9743510000000000.0,37.11,51.97,37.11,55.86,37.11
2021-01-07,17.36583333333333,4867666000000000.0,21.41,41.9,21.41,31.7,21.41
2021-01-08,16.195,6035688000000000.0,20.05,31.95,20.05,28.67,20.05
2021-01-09,11.06375,5274946000000000.0,22.91,43.63,22.91,38.87,22.91
2021-01-10,9.140416666666669,4018560000000000.0,16.59,32.56,16.59,25.98,16.59
2021-01-11,16.005416666666665,5312118000000000.0,33.31,30.61,33.31,32.95,33.31
2021-01-12,29.530416666666657,4463680000000000.0,41.14,34.69,41.14,37.32,41.14
2021-01-13,37.69583333333333,7306460000000000.0,54.61,48.21,54.61,47.04,54.61
2021-01-14,51.755,4927374000000000.0,62.91,44.54,62.91,38.75,62.91
2021-01-15,34.65958333333334,6389000000000000.0,70.73,45.9,70.73,53.07,70.73
2021-01-16,30.28708333333334,5690938000000000.0,81.93,48.66,81.93,59.8,81.93
2021-01-17,12.920833333333334,4875960000000000.0,52.92,38.56,52.92,30.48,52.92
2021-01-18,41.29541666666668,4643732000000000.0,92.09,47.89,92.09,49.19,92.09
2021-01-19,23.78333333333333,5384490000000000.0,80.37,64.58,80.37,51.27,80.37
2021-01-20,13.053333333333333,5341662000000000.0,53.03,43.38,53.03,43.64,53.03
2021-01-21,32.43208333333333,6087020000000000.0,45.15,33.95,45.15,37.55,45.15
2021-01-22,30.107500000000005,5676166000000000.0,53.45,46.03,53.45,36.26,53.45
2021-01-23,20.06625,4797178000000000.0,62.52,35.25,62.52,34.11,62.52
2021-01-24,21.82125,4800100000000000.0,60.95,42.61,60.95,41.64,60.95
2021-01-25,23.54875,4666224000000000.0,44.35,34.69,44.35,35.15,44.35
2021-01-26,22.648999999999997,4562810000000000.0,32.93,31.84,32.93,39.76,32.93
2021-01-27,54.837500000000006,5033354000000000.0,43.53,49.12,43.53,57.57,43.53
2021-01-28,48.18166666666665,3319120000000000.0,50.48,46.71,50.48,55.56,50.48
2021-01-29,14.621249999999998,5896210000000000.0,32.0,36.59,32.0,35.01,32.0
2021-01-30,17.170416666666668,4444660000000000.0,36.06,41.91,36.06,51.44,36.06
2021-01-31,31.57375,1.08e+16,54.57,53.37,54.57,64.22,54.57
2021-02-01,38.1675,4100892000000000.0,84.76,52.15,84.76,70.86,84.76
2021-02-02,34.33124999999999,5868350000000000.0,106.73,51.13,106.73,78.07,106.73
2021-02-03,26.715000000000003,5036646000000000.0,108.57,41.95,108.57,67.95,108.57
2021-02-04,12.29625,5952260000000000.0,70.77,40.55,70.77,64.09,70.77
2021-02-05,27.15041666666667,5133400000000000.0,54.65,35.14,54.65,49.57,54.65
2021-02-06,14.711249999999998,5621380000000000.0,40.14,38.11,40.14,46.9,40.14
2021-02-07,26.086666666666662,3985200000000000.0,62.12,49.57,62.12,51.39,62.12
2021-02-08,23.77166666666666,6156634000000000.0,60.21,53.38,60.21,50.79,60.21
2021-02-09,48.19083333333333,5124510000000000.0,110.66,53.15,110.66,79.01,110.66
2021-02-10,35.16583333333333,4975244000000000.0,110.46,61.86,110.46,84.74,110.46
2021-02-11,32.74708333333333,4849810000000000.0,104.62,60.38,104.62,81.13,104.62
2021-02-12,32.61041666666666,5328372000000000.0,106.03,50.68,106.03,84.18,106.03
2021-02-13,27.044583333333332,4846310000000000.0,60.72,62.33,60.72,90.1,60.72
2021-02-14,25.237916666666663,4461030000000000.0,25.46,52.67,25.46,86.73,25.46
2021-02-15,32.36625,5365380000000000.0,24.38,64.6,24.38,112.23,24.38
2021-02-16,39.9425,6310950000000000.0,21.44,58.81,21.44,117.75,21.44
2021-02-17,34.29083333333334,4522526000000000.0,23.54,54.89,23.54,91.38,23.54
2021-02-18,23.89125,6216910000000000.0,30.0,58.32,30.0,104.3,30.0
2021-02-19,29.037916666666664,5120924000000000.0,30.82,42.01,30.82,96.28,30.82
2021-02-20,20.84,6667920000000000.0,25.17,69.23,25.17,102.04,25.17
2021-02-21,21.00166666666667,4990510000000000.0,23.3,54.18,23.3,73.65,23.3
2021-02-22,25.3625,5886820000000000.0,23.33,68.89,23.33,84.25,23.33
2021-02-23,26.71250000000001,3803310000000000.0,25.54,60.11,25.54,90.37,25.54
2021-02-24,14.85875,5764016000000000.0,36.2,58.46,36.2,117.17,36.2
2021-02-25,12.240416666666665,4405880000000000.0,47.19,45.07,47.19,114.47,47.19
2021-02-26,15.56375,5333252000000000.0,39.29,23.4,39.29,95.51,39.29
2021-02-27,14.017916666666665,3254190000000000.0,44.65,8.1,44.65,99.62,44.65
2021-02-28,12.361666666666666,5855968000000000.0,47.04,8.1,47.04,76.66,47.04
2021-03-01,9.160833333333334,5964940000000000.0,47.93,28.5,47.93,88.11,47.93
2021-03-02,10.675,5406540000000000.0,34.74,44.94,34.74,72.62,34.74
2021-03-03,28.22083333333333,5552142000000000.0,54.35,53.92,54.35,97.57,54.35
2021-03-04,25.76458333333333,4802670000000000.0,72.79,66.07,72.79,166.89,72.79
2021-03-05,10.034166666666666,4790616000000000.0,49.04,59.26,49.04,196.77,49.04
2021-03-06,22.06083333333334,3923990000000000.0,46.52,50.74,46.52,71.71,46.52
2021-03-07,14.665416666666664,4465610000000000.0,76.39,44.21,76.39,81.18,76.39
2021-03-08,9.732083333333334,6654950000000000.0,34.05,21.14,34.05,42.38,34.05
2021-03-09,35.35708333333333,4700530000000000.0,63.55,36.31,63.55,34.73,63.55
2021-03-10,23.68,6575380000000000.0,71.66,54.43,71.66,38.46,71.66
2021-03-11,24.01083333333333,6119940000000000.0,64.03,52.38,64.03,34.59,64.03
2021-03-12,21.45375,4784910000000000.0,50.7,45.87,50.7,43.13,50.7
2021-03-13,20.898333333333337,4935730000000000.0,40.63,41.35,40.63,46.12,40.63
2021-03-14,13.545652173913046,5297522000000000.0,28.64,44.07,28.64,39.01,28.64
2021-03-15,18.58333333333333,5141770000000000.0,35.7,46.21,35.7,44.93,35.7
2021-03-16,18.30625,4732122000000000.0,37.13,36.84,37.13,38.54,37.13
2021-03-17,25.95833333333333,5067610000000000.0,61.07,48.51,61.07,49.81,61.07
2021-03-18,17.469583333333325,4113330000000000.0,83.98,65.79,83.98,63.08,83.98
2021-03-19,15.763333333333334,5626568000000000.0,65.01,61.8,65.01,40.23,65.01
2021-03-20,15.2725,5290860000000000.0,48.0,49.42,48.0,27.68,48.0
2021-03-21,30.17083333333333,4475314000000000.0,68.7,47.38,68.7,26.5,68.7
2021-03-22,19.358333333333334,6273540000000000.0,79.44,64.79,79.44,20.79,79.44
2021-03-23,16.426249999999996,5349942000000000.0,30.74,37.59,30.74,14.11,30.74
2021-03-24,9.018333333333333,5226410000000000.0,35.19,30.3,35.19,13.5,35.19
2021-03-25,9.329583333333336,4426584000000000.0,36.83,43.89,36.83,16.12,36.83
2021-03-26,22.49083333333333,6539190000000000.0,42.92,35.57,42.92,19.55,42.92
2021-03-27,18.675833333333333,5021920000000000.0,85.89,56.41,85.89,24.46,85.89
2021-03-28,22.189166666666665,6446680000000000.0,97.57,29.17,97.57,23.06,97.57
2021-03-29,31.567083333333333,6099570000000000.0,72.97,8.1,72.97,18.04,72.97
2021-03-30,10.79125,4974706000000000.0,51.47,29.96,51.47,17.35,51.47
2021-03-31,9.195416666666668,5002480000000000.0,34.05,33.55,34.05,12.45,34.05
2021-04-01,15.24125,4703678000000000.0,45.56,34.91,45.56,15.0,45.56
2021-04-02,14.834166666666668,5816580000000000.0,82.89,33.21,82.89,14.99,82.89
2021-04-03,12.87625,4330650000000000.0,87.44,38.37,87.44,23.38,87.44
2021-04-04,16.578333333333333,5434840000000000.0,74.92,41.74,74.92,21.67,74.92
2021-04-05,13.153749999999995,7106030000000000.0,78.61,36.88,78.61,20.84,78.61
2021-04-06,10.16875,6135860000000000.0,44.19,26.38,44.19,19.42,44.19
2021-04-07,16.257083333333338,6876930000000000.0,74.82,35.71,74.82,31.79,74.82
2021-04-08,13.734583333333331,5755218000000000.0,65.68,42.28,65.68,45.66,65.68
2021-04-09,11.696666666666667,5624760000000000.0,82.95,35.16,82.95,68.09,82.95
2021-04-10,12.9275,4851052000000000.0,68.07,42.8,68.07,37.05,68.07
2021-04-11,11.847500000000002,6362590000000000.0,73.67,9.27,73.67,39.93,73.67
2021-04-12,16.279583333333335,4464170000000000.0,60.94,28.32,60.94,36.59,60.94
2021-04-13,18.31875,6133130000000000.0,62.06,37.46,62.06,36.03,62.06
2021-04-14,11.614583333333334,4737880000000000.0,53.0,34.15,53.0,46.6,53.0
2021-04-15,21.977500000000003,5634414000000000.0,52.0,39.4,52.0,42.6,52.0
2021-04-16,24.10458333333333,6771720000000000.0,107.73,42.47,107.73,57.93,107.73
2021-04-17,16.771666666666665,5885508000000000.0,37.65,21.2,37.65,35.23,37.65
2021-04-18,7.377500000000001,6653490000000000.0,27.72,16.43,27.72,26.11,27.72
2021-04-19,15.460416666666667,4991550000000000.0,43.29,30.72,43.29,35.11,43.29
2021-04-20,12.430833333333332,5220920000000000.0,64.46,29.94,64.46,45.25,64.46
2021-04-21,8.26375,5934720000000000.0,41.81,20.71,41.81,31.75,41.81
2021-04-22,10.73375,6819800000000000.0,67.42,23.66,67.42,35.91,67.42
2021-04-23,9.275,7720550000000000.0,66.02,27.45,66.02,48.13,66.02
2021-04-24,6.053333333333334,6113810000000000.0,39.07,19.96,39.07,30.77,39.07
2021-04-25,21.0675,7409450000000000.0,48.72,22.67,48.72,31.8,48.72
2021-04-26,27.854166666666657,4896922000000000.0,62.13,35.53,62.13,46.88,62.13
2021-04-27,30.53916666666667,7891630000000000.0,99.71,49.89,99.71,66.3,99.71
2021-04-28,12.927916666666665,6852610000000000.0,91.41,42.03,91.41,49.01,91.41
2021-04-29,7.037916666666667,4164810000000000.0,76.3,29.85,76.3,48.89,76.3
2021-04-30,7.18625,7369570000000000.0,44.7,20.53,44.7,34.43,44.7
2021-05-01,9.345833333333337,4623982000000000.0,33.79,25.18,33.79,34.55,33.79
2021-05-02,14.706666666666663,6148508000000000.0,23.37,19.08,23.37,21.07,23.37
2021-05-03,13.062916666666666,6049650000000000.0,34.16,20.21,34.16,24.84,34.16
2021-05-04,4.405416666666666,7938830000000000.0,24.03,21.2,24.03,21.64,24.03
2021-05-05,4.447916666666666,6354530000000000.0,16.53,16.55,16.53,18.96,16.53
2021-05-06,4.892916666666667,5759430000000000.0,22.89,17.69,22.89,22.07,22.89
2021-05-07,13.410416666666668,5132146000000000.0,17.47,17.74,17.47,17.39,17.47
2021-05-08,10.747916666666669,5925810000000000.0,23.17,24.37,23.17,24.42,23.17
2021-05-09,6.6762500000000005,6270610000000000.0,19.33,19.27,19.33,18.87,19.33
2021-05-10,12.212916666666665,5587104000000000.0,14.69,18.41,14.69,18.56,14.69
2021-05-11,8.94875,7546260000000000.0,19.47,21.31,19.47,23.4,19.47
2021-05-12,12.39875,6669230000000000.0,15.31,28.64,15.31,25.38,15.31
2021-05-13,10.8425,7377300000000000.0,18.5,21.79,18.5,18.21,18.5
2021-05-14,18.03333333333333,5836970000000000.0,35.07,25.85,35.07,25.7,35.07
2021-05-15,14.015833333333331,5934840000000000.0,53.38,26.59,53.38,31.96,53.38
2021-05-16,19.794166666666666,6192260000000000.0,33.15,17.69,33.15,30.15,33.15
2021-05-17,16.855833333333337,3683076000000000.0,45.11,21.09,45.11,32.48,45.11
2021-05-18,11.413333333333332,4241788000000000.0,28.13,10.95,28.13,15.35,28.13
2021-05-19,5.065833333333333,5346156000000000.0,20.33,9.33,20.33,13.44,20.33
2021-05-20,11.373333333333331,5260632000000000.0,16.26,6.52,16.26,7.25,16.26
2021-05-21,19.2825,5274140000000000.0,61.98,12.76,61.98,13.91,61.98
2021-05-22,20.453750000000003,5121090000000000.0,93.79,14.1,93.79,12.29,93.79
2021-05-23,10.211249999999998,4653800000000000.0,78.74,21.19,78.74,9.36,78.74
2021-05-24,11.427916666666668,5212880000000000.0,63.38,24.65,63.38,10.13,63.38
2021-05-25,9.342083333333337,5718040000000000.0,68.55,17.55,68.55,9.58,68.55
2021-05-26,5.757916666666667,4364362000000000.0,51.31,11.47,51.31,7.33,51.31
2021-05-27,7.662499999999999,5931690000000000.0,30.97,10.55,30.97,6.36,30.97
2021-05-28,4.636250000000001,6163712000000000.0,20.26,9.32,20.26,2.19,20.26
2021-05-29,8.417083333333332,6577050000000000.0,16.36,12.51,16.36,3.13,16.36
2021-05-30,7.0320833333333335,5429630000000000.0,22.85,12.44,22.85,3.39,22.85
2021-05-31,12.484583333333331,7271340000000000.0,28.35,14.87,28.35,8.72,28.35
2021-06-01,12.297083333333331,4347260000000000.0,20.3,14.45,20.3,25.65,20.3
2021-06-02,23.96625,5364752000000000.0,30.93,23.61,30.93,18.32,30.93
2021-06-03,22.907499999999995,6929060000000000.0,42.3,31.55,42.3,19.61,42.3
2021-06-04,19.01041666666666,5228294000000000.0,40.65,30.87,40.65,23.78,40.65
2021-06-05,14.043333333333337,5477740000000000.0,32.11,25.31,32.11,22.57,32.11
2021-06-06,9.266666666666667,6103000000000000.0,27.55,25.06,27.55,22.51,27.55
2021-06-07,34.49041666666666,5819992000000000.0,35.4,28.43,35.4,28.91,35.4
2021-06-08,9.216666666666669,4792880000000000.0,32.14,25.15,32.14,28.44,32.14
2021-06-09,4.944166666666668,6441400000000000.0,17.64,16.66,17.64,27.5,17.64
